N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.24,0.16,0.19,0.14,0.12,0.09,0.02,N/A,0.08,0.10,N/A,N/A,N/A,0.14
N/A,0.24,1,0.23,0.12,0.20,0.13,0.12,0.13,N/A,0.11,0.13,N/A,N/A,N/A,0.19
N/A,0.16,0.23,1,0.12,0.12,0.14,-0.01,0.07,N/A,0.12,0.10,N/A,N/A,N/A,0.07
N/A,0.19,0.12,0.12,1,0.10,-0.02,0.20,0.06,N/A,0.12,0.07,N/A,N/A,N/A,0.06
N/A,0.14,0.20,0.12,0.10,1,0.14,0.05,0.00,N/A,0.11,0.11,N/A,N/A,N/A,0.04
N/A,0.12,0.13,0.14,-0.02,0.14,1,0.04,0.01,N/A,0.08,0.11,N/A,N/A,N/A,0.05
N/A,0.09,0.12,-0.01,0.20,0.05,0.04,1,0.05,N/A,0.03,0.38,N/A,N/A,N/A,0.06
N/A,0.02,0.13,0.07,0.06,0.00,0.01,0.05,1,N/A,-0.08,0.04,N/A,N/A,N/A,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.08,0.11,0.12,0.12,0.11,0.08,0.03,-0.08,N/A,1,0.01,N/A,N/A,N/A,0.04
N/A,0.10,0.13,0.10,0.07,0.11,0.11,0.38,0.04,N/A,0.01,1,N/A,N/A,N/A,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.14,0.19,0.07,0.06,0.04,0.05,0.06,0.08,N/A,0.04,0.04,N/A,N/A,N/A,1
