1,0.06,0.17,0.17,0.13,0.07,0.15,0.33,0.20,0.29,0.09,0.08,0.12,0.22,-0.01,-0.04
0.06,1,0.15,0.15,0.10,0.03,0.13,0.14,0.23,0.19,0.02,-0.06,0.06,0.14,0.02,0.06
0.17,0.15,1,1.00,0.13,0.03,0.12,0.27,0.29,0.34,0.04,0.02,0.15,0.13,0.14,0.04
0.17,0.15,1.00,1,0.13,0.02,0.11,0.26,0.29,0.33,0.04,0.02,0.15,0.12,0.07,0.04
0.13,0.10,0.13,0.13,1,0.13,0.13,0.25,0.28,0.24,0.12,0.01,0.03,0.20,0.08,0.11
0.07,0.03,0.03,0.02,0.13,1,0.06,0.17,0.11,0.17,0.04,-0.02,0.04,0.13,0.08,0.02
0.15,0.13,0.12,0.11,0.13,0.06,1,0.22,0.13,0.19,0.06,0.00,0.14,0.13,0.18,-0.00
0.33,0.14,0.27,0.26,0.25,0.17,0.22,1,0.36,0.56,0.11,0.11,0.13,0.43,0.16,0.08
0.20,0.23,0.29,0.29,0.28,0.11,0.13,0.36,1,0.33,0.05,0.00,0.07,0.25,0.08,0.01
0.29,0.19,0.34,0.33,0.24,0.17,0.19,0.56,0.33,1,0.11,0.04,0.14,0.41,0.18,0.05
0.09,0.02,0.04,0.04,0.12,0.04,0.06,0.11,0.05,0.11,1,0.02,0.04,0.14,0.04,0.07
0.08,-0.06,0.02,0.02,0.01,-0.02,0.00,0.11,0.00,0.04,0.02,1,0.06,0.10,-0.08,0.14
0.12,0.06,0.15,0.15,0.03,0.04,0.14,0.13,0.07,0.14,0.04,0.06,1,0.10,0.03,-0.02
0.22,0.14,0.13,0.12,0.20,0.13,0.13,0.43,0.25,0.41,0.14,0.10,0.10,1,0.10,0.06
-0.01,0.02,0.14,0.07,0.08,0.08,0.18,0.16,0.08,0.18,0.04,-0.08,0.03,0.10,1,0.00
-0.04,0.06,0.04,0.04,0.11,0.02,-0.00,0.08,0.01,0.05,0.07,0.14,-0.02,0.06,0.00,1
