1,0.24,N/A,0.12,-0.01,0.09,N/A,0.01,0.01,-0.04,0.05,N/A,0.03,N/A,0.17,N/A,N/A,N/A,0.08,0.04
0.24,1,N/A,0.08,0.18,0.20,N/A,-0.03,0.02,0.09,-0.01,N/A,0.12,N/A,0.10,N/A,N/A,N/A,0.07,0.59
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.08,N/A,1,0.04,0.36,N/A,0.06,0.03,0.03,0.01,N/A,0.10,N/A,0.81,N/A,N/A,N/A,0.15,0.05
-0.01,0.18,N/A,0.04,1,0.32,N/A,-0.03,-0.01,0.16,0.10,N/A,0.56,N/A,0.22,N/A,N/A,N/A,0.16,0.08
0.09,0.20,N/A,0.36,0.32,1,N/A,0.08,0.08,0.11,0.30,N/A,0.29,N/A,0.39,N/A,N/A,N/A,0.37,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,-0.03,N/A,0.06,-0.03,0.08,N/A,1,0.01,-0.10,0.05,N/A,0.04,N/A,0.09,N/A,N/A,N/A,0.07,0.01
0.01,0.02,N/A,0.03,-0.01,0.08,N/A,0.01,1,0.02,0.01,N/A,0.02,N/A,0.06,N/A,N/A,N/A,0.04,0.02
-0.04,0.09,N/A,0.03,0.16,0.11,N/A,-0.10,0.02,1,-0.01,N/A,0.16,N/A,0.07,N/A,N/A,N/A,0.07,0.06
0.05,-0.01,N/A,0.01,0.10,0.30,N/A,0.05,0.01,-0.01,1,N/A,0.12,N/A,0.07,N/A,N/A,N/A,0.07,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.12,N/A,0.10,0.56,0.29,N/A,0.04,0.02,0.16,0.12,N/A,1,N/A,0.45,N/A,N/A,N/A,0.14,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.10,N/A,0.81,0.22,0.39,N/A,0.09,0.06,0.07,0.07,N/A,0.45,N/A,1,N/A,N/A,N/A,0.24,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.07,N/A,0.15,0.16,0.37,N/A,0.07,0.04,0.07,0.07,N/A,0.14,N/A,0.24,N/A,N/A,N/A,1,0.04
0.04,0.59,N/A,0.05,0.08,0.18,N/A,0.01,0.02,0.06,-0.04,N/A,0.04,N/A,0.05,N/A,N/A,N/A,0.04,1
