1,N/A,0.05,0.06,-0.06,0.01,N/A,0.07,0.19,0.12,0.06,0.16,0.02,0.04,-0.01,0.08,N/A,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,N/A,1,0.46,0.06,0.06,N/A,0.03,0.09,0.08,-0.01,0.03,0.24,0.01,0.03,0.13,N/A,-0.02
0.06,N/A,0.46,1,0.13,0.02,N/A,-0.09,-0.05,0.14,0.13,0.00,0.32,-0.05,0.03,0.07,N/A,0.10
-0.06,N/A,0.06,0.13,1,0.04,N/A,0.01,-0.02,0.04,0.03,0.09,0.05,-0.01,-0.05,0.06,N/A,0.17
0.01,N/A,0.06,0.02,0.04,1,N/A,0.07,0.09,0.10,0.01,0.09,0.03,-0.01,0.10,0.24,N/A,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,0.03,-0.09,0.01,0.07,N/A,1,0.95,0.01,-0.00,0.06,0.06,0.11,0.10,0.08,N/A,0.23
0.19,N/A,0.09,-0.05,-0.02,0.09,N/A,0.95,1,0.11,-0.00,0.07,0.11,0.10,0.11,0.12,N/A,0.24
0.12,N/A,0.08,0.14,0.04,0.10,N/A,0.01,0.11,1,0.13,0.11,0.61,0.04,0.03,0.17,N/A,0.07
0.06,N/A,-0.01,0.13,0.03,0.01,N/A,-0.00,-0.00,0.13,1,0.20,0.32,-0.04,0.03,0.11,N/A,0.19
0.16,N/A,0.03,0.00,0.09,0.09,N/A,0.06,0.07,0.11,0.20,1,0.24,0.04,0.02,0.10,N/A,0.06
0.02,N/A,0.24,0.32,0.05,0.03,N/A,0.06,0.11,0.61,0.32,0.24,1,0.02,0.13,0.19,N/A,0.14
0.04,N/A,0.01,-0.05,-0.01,-0.01,N/A,0.11,0.10,0.04,-0.04,0.04,0.02,1,0.07,-0.00,N/A,0.03
-0.01,N/A,0.03,0.03,-0.05,0.10,N/A,0.10,0.11,0.03,0.03,0.02,0.13,0.07,1,0.12,N/A,0.42
0.08,N/A,0.13,0.07,0.06,0.24,N/A,0.08,0.12,0.17,0.11,0.10,0.19,-0.00,0.12,1,N/A,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,-0.02,0.10,0.17,0.09,N/A,0.23,0.24,0.07,0.19,0.06,0.14,0.03,0.42,0.20,N/A,1
