N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,-0.01,-0.02,0.12,0.35,0.02,0.77,N/A,0.01,0.03,N/A,-0.02,-0.02,-0.02,0.01,N/A,N/A,-0.03,0.73,N/A,0.06,N/A,-0.03
N/A,-0.01,1,0.04,0.03,0.04,0.05,0.08,N/A,-0.01,-0.02,N/A,0.04,0.03,0.03,0.06,N/A,N/A,-0.02,0.14,N/A,0.07,N/A,0.01
N/A,-0.02,0.04,1,0.02,0.03,-0.00,-0.02,N/A,0.01,0.04,N/A,1.00,0.02,0.01,0.06,N/A,N/A,0.32,0.02,N/A,0.00,N/A,0.31
N/A,0.12,0.03,0.02,1,0.12,-0.03,0.13,N/A,0.03,0.05,N/A,0.02,0.02,0.04,0.07,N/A,N/A,-0.08,0.25,N/A,0.03,N/A,0.01
N/A,0.35,0.04,0.03,0.12,1,0.20,0.26,N/A,0.03,0.05,N/A,0.03,0.06,0.07,0.02,N/A,N/A,0.05,0.38,N/A,0.07,N/A,-0.02
N/A,0.02,0.05,-0.00,-0.03,0.20,1,0.03,N/A,0.02,-0.05,N/A,-0.00,0.06,-0.01,-0.00,N/A,N/A,0.00,0.11,N/A,0.37,N/A,0.04
N/A,0.77,0.08,-0.02,0.13,0.26,0.03,1,N/A,0.01,0.02,N/A,-0.02,-0.03,-0.04,-0.01,N/A,N/A,0.00,0.78,N/A,0.09,N/A,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.01,-0.01,0.01,0.03,0.03,0.02,0.01,N/A,1,-0.06,N/A,0.01,0.01,-0.07,0.12,N/A,N/A,-0.07,0.06,N/A,0.11,N/A,0.02
N/A,0.03,-0.02,0.04,0.05,0.05,-0.05,0.02,N/A,-0.06,1,N/A,0.04,0.02,0.05,0.06,N/A,N/A,-0.05,0.02,N/A,0.01,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.02,0.04,1.00,0.02,0.03,-0.00,-0.02,N/A,0.01,0.04,N/A,1,0.02,0.01,0.06,N/A,N/A,0.32,0.02,N/A,-0.00,N/A,0.31
N/A,-0.02,0.03,0.02,0.02,0.06,0.06,-0.03,N/A,0.01,0.02,N/A,0.02,1,0.05,0.15,N/A,N/A,0.04,0.10,N/A,-0.01,N/A,0.00
N/A,-0.02,0.03,0.01,0.04,0.07,-0.01,-0.04,N/A,-0.07,0.05,N/A,0.01,0.05,1,-0.06,N/A,N/A,-0.01,0.04,N/A,-0.03,N/A,-0.02
N/A,0.01,0.06,0.06,0.07,0.02,-0.00,-0.01,N/A,0.12,0.06,N/A,0.06,0.15,-0.06,1,N/A,N/A,0.08,0.12,N/A,-0.01,N/A,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.03,-0.02,0.32,-0.08,0.05,0.00,0.00,N/A,-0.07,-0.05,N/A,0.32,0.04,-0.01,0.08,N/A,N/A,1,0.04,N/A,-0.05,N/A,0.03
N/A,0.73,0.14,0.02,0.25,0.38,0.11,0.78,N/A,0.06,0.02,N/A,0.02,0.10,0.04,0.12,N/A,N/A,0.04,1,N/A,0.12,N/A,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.06,0.07,0.00,0.03,0.07,0.37,0.09,N/A,0.11,0.01,N/A,-0.00,-0.01,-0.03,-0.01,N/A,N/A,-0.05,0.12,N/A,1,N/A,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.03,0.01,0.31,0.01,-0.02,0.04,-0.01,N/A,0.02,0.01,N/A,0.31,0.00,-0.02,0.06,N/A,N/A,0.03,0.07,N/A,0.05,N/A,1
