1,-0.01,0.08,0.03,0.08,0.03,-0.04,0.00,0.21,0.08,N/A,0.06
-0.01,1,0.11,0.11,0.07,0.05,0.05,0.12,0.06,0.01,N/A,0.05
0.08,0.11,1,0.05,0.04,0.03,0.07,0.08,0.13,0.08,N/A,0.15
0.03,0.11,0.05,1,0.03,0.12,0.01,0.10,0.18,0.02,N/A,0.03
0.08,0.07,0.04,0.03,1,0.01,0.00,0.10,0.02,0.08,N/A,-0.01
0.03,0.05,0.03,0.12,0.01,1,-0.03,0.09,-0.01,0.03,N/A,0.05
-0.04,0.05,0.07,0.01,0.00,-0.03,1,0.04,0.00,-0.03,N/A,0.03
0.00,0.12,0.08,0.10,0.10,0.09,0.04,1,0.02,0.02,N/A,0.01
0.21,0.06,0.13,0.18,0.02,-0.01,0.00,0.02,1,-0.02,N/A,0.12
0.08,0.01,0.08,0.02,0.08,0.03,-0.03,0.02,-0.02,1,N/A,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.05,0.15,0.03,-0.01,0.05,0.03,0.01,0.12,0.07,N/A,1
