1,0.16,0.12,0.26,0.38,0.25,0.16,0.07,0.30,0.13,0.19,0.23,0.30,0.20,0.13,0.24,0.31,0.05,0.03,0.17,0.07,0.21
0.16,1,0.14,0.29,0.18,0.20,0.08,0.10,0.26,0.08,0.18,0.23,0.30,0.20,0.13,0.15,0.23,0.15,0.03,0.25,0.06,0.13
0.12,0.14,1,0.41,0.34,0.32,0.09,-0.00,0.29,0.33,0.38,0.30,0.40,0.37,0.31,0.27,0.33,0.16,0.11,0.25,0.22,0.29
0.26,0.29,0.41,1,0.35,0.51,0.22,0.17,0.43,0.28,0.57,0.58,0.69,0.52,0.51,0.46,0.59,0.25,0.21,0.44,0.31,0.50
0.38,0.18,0.34,0.35,1,0.30,0.10,0.07,0.28,0.09,0.33,0.32,0.39,0.24,0.20,0.30,0.36,0.15,0.14,0.29,0.17,0.32
0.25,0.20,0.32,0.51,0.30,1,0.27,0.11,0.51,0.28,0.40,0.48,0.54,0.41,0.41,0.42,0.44,0.24,0.21,0.37,0.22,0.35
0.16,0.08,0.09,0.22,0.10,0.27,1,0.14,0.12,0.07,0.20,0.27,0.27,0.25,0.27,0.19,0.20,0.03,0.12,0.19,0.05,0.26
0.07,0.10,-0.00,0.17,0.07,0.11,0.14,1,0.19,0.05,0.02,0.18,0.22,0.08,0.27,0.09,0.09,0.03,0.05,0.04,0.10,0.19
0.30,0.26,0.29,0.43,0.28,0.51,0.12,0.19,1,0.21,0.26,0.34,0.54,0.31,0.35,0.27,0.42,0.18,0.13,0.18,0.23,0.31
0.13,0.08,0.33,0.28,0.09,0.28,0.07,0.05,0.21,1,0.25,0.21,0.33,0.37,0.31,0.26,0.29,0.08,0.17,0.23,0.23,0.28
0.19,0.18,0.38,0.57,0.33,0.40,0.20,0.02,0.26,0.25,1,0.55,0.62,0.48,0.38,0.46,0.53,0.14,0.19,0.42,0.27,0.38
0.23,0.23,0.30,0.58,0.32,0.48,0.27,0.18,0.34,0.21,0.55,1,0.57,0.49,0.46,0.48,0.53,0.26,0.15,0.51,0.30,0.50
0.30,0.30,0.40,0.69,0.39,0.54,0.27,0.22,0.54,0.33,0.62,0.57,1,0.52,0.53,0.49,0.61,0.30,0.25,0.43,0.31,0.55
0.20,0.20,0.37,0.52,0.24,0.41,0.25,0.08,0.31,0.37,0.48,0.49,0.52,1,0.40,0.44,0.47,0.20,0.20,0.37,0.26,0.39
0.13,0.13,0.31,0.51,0.20,0.41,0.27,0.27,0.35,0.31,0.38,0.46,0.53,0.40,1,0.35,0.44,0.15,0.14,0.30,0.29,0.54
0.24,0.15,0.27,0.46,0.30,0.42,0.19,0.09,0.27,0.26,0.46,0.48,0.49,0.44,0.35,1,0.47,0.11,0.13,0.41,0.32,0.41
0.31,0.23,0.33,0.59,0.36,0.44,0.20,0.09,0.42,0.29,0.53,0.53,0.61,0.47,0.44,0.47,1,0.16,0.21,0.41,0.26,0.47
0.05,0.15,0.16,0.25,0.15,0.24,0.03,0.03,0.18,0.08,0.14,0.26,0.30,0.20,0.15,0.11,0.16,1,0.07,0.10,0.19,0.17
0.03,0.03,0.11,0.21,0.14,0.21,0.12,0.05,0.13,0.17,0.19,0.15,0.25,0.20,0.14,0.13,0.21,0.07,1,0.14,0.12,0.14
0.17,0.25,0.25,0.44,0.29,0.37,0.19,0.04,0.18,0.23,0.42,0.51,0.43,0.37,0.30,0.41,0.41,0.10,0.14,1,0.28,0.37
0.07,0.06,0.22,0.31,0.17,0.22,0.05,0.10,0.23,0.23,0.27,0.30,0.31,0.26,0.29,0.32,0.26,0.19,0.12,0.28,1,0.30
0.21,0.13,0.29,0.50,0.32,0.35,0.26,0.19,0.31,0.28,0.38,0.50,0.55,0.39,0.54,0.41,0.47,0.17,0.14,0.37,0.30,1
