1,0.19,0.90,N/A,-0.00,0.21,0.00,0.02,0.11,0.56,0.39,0.25,0.11,0.22,0.26,0.22,N/A,N/A,N/A
0.19,1,0.21,N/A,0.15,0.27,0.12,-0.03,0.34,0.10,0.12,0.42,0.30,0.26,0.46,0.07,N/A,N/A,N/A
0.90,0.21,1,N/A,0.01,0.28,0.01,0.04,0.12,0.50,0.35,0.29,0.10,0.27,0.29,0.22,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.00,0.15,0.01,N/A,1,0.15,-0.01,0.16,0.07,0.06,0.00,0.14,0.10,0.04,0.28,-0.00,N/A,N/A,N/A
0.21,0.27,0.28,N/A,0.15,1,0.19,0.07,0.32,0.04,0.03,0.32,0.19,0.26,0.43,0.01,N/A,N/A,N/A
0.00,0.12,0.01,N/A,-0.01,0.19,1,0.00,0.00,0.03,0.00,0.12,0.01,0.02,0.03,0.01,N/A,N/A,N/A
0.02,-0.03,0.04,N/A,0.16,0.07,0.00,1,0.01,0.08,-0.02,0.05,-0.02,0.03,0.12,0.07,N/A,N/A,N/A
0.11,0.34,0.12,N/A,0.07,0.32,0.00,0.01,1,0.05,0.09,0.33,0.25,0.33,0.41,0.07,N/A,N/A,N/A
0.56,0.10,0.50,N/A,0.06,0.04,0.03,0.08,0.05,1,0.28,0.13,0.05,0.21,0.11,0.53,N/A,N/A,N/A
0.39,0.12,0.35,N/A,0.00,0.03,0.00,-0.02,0.09,0.28,1,0.12,0.22,0.06,0.16,0.13,N/A,N/A,N/A
0.25,0.42,0.29,N/A,0.14,0.32,0.12,0.05,0.33,0.13,0.12,1,0.34,0.26,0.45,0.00,N/A,N/A,N/A
0.11,0.30,0.10,N/A,0.10,0.19,0.01,-0.02,0.25,0.05,0.22,0.34,1,0.19,0.37,0.07,N/A,N/A,N/A
0.22,0.26,0.27,N/A,0.04,0.26,0.02,0.03,0.33,0.21,0.06,0.26,0.19,1,0.28,0.12,N/A,N/A,N/A
0.26,0.46,0.29,N/A,0.28,0.43,0.03,0.12,0.41,0.11,0.16,0.45,0.37,0.28,1,0.06,N/A,N/A,N/A
0.22,0.07,0.22,N/A,-0.00,0.01,0.01,0.07,0.07,0.53,0.13,0.00,0.07,0.12,0.06,1,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
