1,-0.01,0.05,-0.02,0.09,0.11,0.08,0.02,0.13,0.16,0.05,0.04,0.04,-0.02,0.03,0.05,0.01,0.04,0.07
-0.01,1,0.05,0.11,0.12,0.02,0.05,0.07,-0.01,0.07,-0.05,0.07,-0.03,0.08,0.02,0.06,-0.02,0.07,-0.02
0.05,0.05,1,0.01,0.00,0.06,-0.01,0.04,-0.03,0.07,0.13,0.08,0.03,-0.01,-0.00,0.04,0.02,0.02,0.06
-0.02,0.11,0.01,1,0.06,0.05,0.03,0.03,0.02,0.07,0.07,0.08,-0.01,0.02,-0.03,0.06,0.00,0.00,0.02
0.09,0.12,0.00,0.06,1,0.57,0.08,0.37,0.14,0.38,0.05,0.31,0.12,0.10,0.21,0.10,0.06,0.11,0.11
0.11,0.02,0.06,0.05,0.57,1,0.07,0.32,0.13,0.37,0.04,0.30,0.07,0.08,0.14,0.11,0.06,0.10,0.14
0.08,0.05,-0.01,0.03,0.08,0.07,1,0.01,0.22,0.11,-0.04,0.07,-0.03,0.02,-0.01,0.05,-0.00,0.04,0.00
0.02,0.07,0.04,0.03,0.37,0.32,0.01,1,0.17,0.36,0.07,0.26,0.09,0.03,0.14,0.08,0.04,0.17,0.14
0.13,-0.01,-0.03,0.02,0.14,0.13,0.22,0.17,1,0.39,0.02,0.08,0.08,0.13,0.01,0.14,0.23,0.17,0.13
0.16,0.07,0.07,0.07,0.38,0.37,0.11,0.36,0.39,1,0.16,0.28,0.19,0.16,0.16,0.27,0.09,0.25,0.31
0.05,-0.05,0.13,0.07,0.05,0.04,-0.04,0.07,0.02,0.16,1,0.06,0.07,0.02,0.07,-0.03,0.00,0.11,0.03
0.04,0.07,0.08,0.08,0.31,0.30,0.07,0.26,0.08,0.28,0.06,1,0.08,0.12,0.04,0.20,0.03,0.09,0.05
0.04,-0.03,0.03,-0.01,0.12,0.07,-0.03,0.09,0.08,0.19,0.07,0.08,1,0.10,0.02,0.28,0.09,0.04,0.13
-0.02,0.08,-0.01,0.02,0.10,0.08,0.02,0.03,0.13,0.16,0.02,0.12,0.10,1,0.04,0.12,0.03,0.04,0.03
0.03,0.02,-0.00,-0.03,0.21,0.14,-0.01,0.14,0.01,0.16,0.07,0.04,0.02,0.04,1,0.04,0.01,0.03,0.02
0.05,0.06,0.04,0.06,0.10,0.11,0.05,0.08,0.14,0.27,-0.03,0.20,0.28,0.12,0.04,1,0.10,0.19,0.06
0.01,-0.02,0.02,0.00,0.06,0.06,-0.00,0.04,0.23,0.09,0.00,0.03,0.09,0.03,0.01,0.10,1,-0.05,-0.00
0.04,0.07,0.02,0.00,0.11,0.10,0.04,0.17,0.17,0.25,0.11,0.09,0.04,0.04,0.03,0.19,-0.05,1,-0.00
0.07,-0.02,0.06,0.02,0.11,0.14,0.00,0.14,0.13,0.31,0.03,0.05,0.13,0.03,0.02,0.06,-0.00,-0.00,1
