1,0.04,0.06,0.19,0.04,0.01,0.03,0.10,0.03,0.15,0.06,-0.03,0.12,0.08,0.14,-0.00,0.01,0.04,0.05,-0.00
0.04,1,0.01,0.23,0.14,0.01,0.03,0.10,0.04,0.17,0.03,-0.01,0.17,0.03,0.04,-0.00,-0.01,0.07,0.10,0.04
0.06,0.01,1,0.28,0.17,0.30,0.05,0.28,0.13,0.21,0.10,0.06,0.16,0.18,0.27,0.01,0.22,0.03,0.25,0.02
0.19,0.23,0.28,1,0.36,0.20,0.07,0.29,0.15,0.38,0.15,0.02,0.36,0.11,0.30,-0.00,0.22,0.12,0.21,0.14
0.04,0.14,0.17,0.36,1,0.22,0.08,0.34,0.14,0.41,0.12,0.05,0.23,0.13,0.28,0.15,0.14,0.12,0.01,0.07
0.01,0.01,0.30,0.20,0.22,1,0.01,0.23,0.10,0.13,0.15,-0.01,0.14,0.18,0.24,0.16,0.05,0.01,0.01,0.00
0.03,0.03,0.05,0.07,0.08,0.01,1,0.13,0.01,0.07,0.47,0.07,0.13,0.43,0.04,0.02,0.20,-0.01,-0.04,0.04
0.10,0.10,0.28,0.29,0.34,0.23,0.13,1,0.11,0.27,0.22,-0.02,0.18,0.23,0.24,0.40,0.14,0.05,0.13,0.03
0.03,0.04,0.13,0.15,0.14,0.10,0.01,0.11,1,0.11,0.05,-0.05,0.09,0.06,0.07,0.03,0.10,-0.02,0.02,0.04
0.15,0.17,0.21,0.38,0.41,0.13,0.07,0.27,0.11,1,0.10,-0.01,0.25,0.10,0.22,-0.01,0.12,0.14,0.07,0.11
0.06,0.03,0.10,0.15,0.12,0.15,0.47,0.22,0.05,0.10,1,0.01,0.13,0.41,0.06,0.01,0.12,0.04,0.04,0.07
-0.03,-0.01,0.06,0.02,0.05,-0.01,0.07,-0.02,-0.05,-0.01,0.01,1,0.01,0.05,0.02,0.02,-0.00,0.06,-0.01,0.02
0.12,0.17,0.16,0.36,0.23,0.14,0.13,0.18,0.09,0.25,0.13,0.01,1,0.16,0.29,0.00,0.20,0.01,0.13,0.01
0.08,0.03,0.18,0.11,0.13,0.18,0.43,0.23,0.06,0.10,0.41,0.05,0.16,1,0.19,0.20,0.23,-0.02,0.17,0.04
0.14,0.04,0.27,0.30,0.28,0.24,0.04,0.24,0.07,0.22,0.06,0.02,0.29,0.19,1,0.15,0.09,0.06,0.15,0.02
-0.00,-0.00,0.01,-0.00,0.15,0.16,0.02,0.40,0.03,-0.01,0.01,0.02,0.00,0.20,0.15,1,0.00,-0.01,-0.00,0.00
0.01,-0.01,0.22,0.22,0.14,0.05,0.20,0.14,0.10,0.12,0.12,-0.00,0.20,0.23,0.09,0.00,1,0.07,0.17,0.12
0.04,0.07,0.03,0.12,0.12,0.01,-0.01,0.05,-0.02,0.14,0.04,0.06,0.01,-0.02,0.06,-0.01,0.07,1,0.02,0.04
0.05,0.10,0.25,0.21,0.01,0.01,-0.04,0.13,0.02,0.07,0.04,-0.01,0.13,0.17,0.15,-0.00,0.17,0.02,1,0.01
-0.00,0.04,0.02,0.14,0.07,0.00,0.04,0.03,0.04,0.11,0.07,0.02,0.01,0.04,0.02,0.00,0.12,0.04,0.01,1
