N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.20,0.18,0.19,N/A,0.21,-0.08,0.02,0.08,0.24,0.25,0.20
N/A,0.20,1,0.40,0.78,N/A,0.50,0.14,0.32,0.32,0.42,0.94,0.18
N/A,0.18,0.40,1,0.35,N/A,0.47,0.05,0.16,0.19,0.56,0.39,0.14
N/A,0.19,0.78,0.35,1,N/A,0.41,0.08,0.38,0.30,0.34,0.77,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.21,0.50,0.47,0.41,N/A,1,0.10,0.28,0.23,0.48,0.49,0.33
N/A,-0.08,0.14,0.05,0.08,N/A,0.10,1,-0.01,0.10,0.06,0.12,0.02
N/A,0.02,0.32,0.16,0.38,N/A,0.28,-0.01,1,0.21,0.17,0.32,0.19
N/A,0.08,0.32,0.19,0.30,N/A,0.23,0.10,0.21,1,0.19,0.31,0.05
N/A,0.24,0.42,0.56,0.34,N/A,0.48,0.06,0.17,0.19,1,0.43,0.16
N/A,0.25,0.94,0.39,0.77,N/A,0.49,0.12,0.32,0.31,0.43,1,0.19
N/A,0.20,0.18,0.14,0.11,N/A,0.33,0.02,0.19,0.05,0.16,0.19,1
