1,0.15,0.17,0.09,0.30,N/A,0.47,-0.01,0.11,0.59,0.36,0.21,0.44,0.47,0.02,0.10,0.52,0.37,0.16,0.19,0.47,0.13,0.28,0.14,0.42,0.45,0.60,0.12,0.34
0.15,1,-0.02,0.08,0.04,N/A,0.22,-0.02,0.03,0.17,0.20,0.34,0.15,0.25,-0.01,-0.04,0.12,0.15,0.02,0.01,0.16,0.05,0.02,0.01,0.13,0.23,0.17,0.04,0.16
0.17,-0.02,1,0.04,0.09,N/A,0.20,0.02,-0.01,0.19,0.15,0.00,0.16,0.11,0.09,0.08,0.09,0.15,0.03,0.03,0.18,0.11,0.03,0.02,0.11,0.18,0.19,-0.00,0.21
0.09,0.08,0.04,1,0.05,N/A,0.14,0.02,0.03,0.13,0.11,0.01,0.09,0.16,0.03,-0.06,0.07,0.08,0.00,0.02,0.14,0.13,0.04,0.04,0.07,0.15,0.13,0.02,0.13
0.30,0.04,0.09,0.05,1,N/A,0.40,0.17,0.03,0.44,0.14,0.09,0.31,0.30,0.04,0.08,0.10,0.28,0.04,0.02,0.45,0.07,0.17,0.13,0.29,0.24,0.48,0.19,0.17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.47,0.22,0.20,0.14,0.40,N/A,1,0.01,0.14,0.67,0.25,0.14,0.48,0.61,0.12,0.15,0.17,0.55,0.08,0.09,0.58,0.11,0.33,0.05,0.44,0.40,0.62,0.11,0.29
-0.01,-0.02,0.02,0.02,0.17,N/A,0.01,1,-0.00,0.04,0.00,-0.01,0.01,0.03,0.02,-0.01,0.00,0.01,0.01,0.02,0.07,-0.01,0.03,0.01,0.01,-0.00,0.05,0.03,0.01
0.11,0.03,-0.01,0.03,0.03,N/A,0.14,-0.00,1,0.16,0.11,0.06,0.06,0.10,0.05,0.01,0.01,0.06,0.06,0.04,0.06,0.06,0.09,0.03,0.02,0.17,0.16,0.05,0.09
0.59,0.17,0.19,0.13,0.44,N/A,0.67,0.04,0.16,1,0.28,0.17,0.64,0.63,0.10,0.16,0.27,0.58,0.13,0.14,0.71,0.18,0.37,0.07,0.52,0.58,0.94,0.19,0.47
0.36,0.20,0.15,0.11,0.14,N/A,0.25,0.00,0.11,0.28,1,0.31,0.18,0.26,-0.01,-0.02,0.10,0.19,0.07,0.13,0.15,0.33,0.27,0.03,0.14,0.24,0.30,0.07,0.11
0.21,0.34,0.00,0.01,0.09,N/A,0.14,-0.01,0.06,0.17,0.31,1,0.13,0.14,-0.04,0.01,0.10,0.19,0.03,0.01,0.09,0.04,0.04,0.01,0.06,0.13,0.17,0.11,0.05
0.44,0.15,0.16,0.09,0.31,N/A,0.48,0.01,0.06,0.64,0.18,0.13,1,0.48,-0.02,0.12,0.26,0.50,0.06,0.12,0.53,0.10,0.29,0.06,0.43,0.44,0.64,0.09,0.38
0.47,0.25,0.11,0.16,0.30,N/A,0.61,0.03,0.10,0.63,0.26,0.14,0.48,1,0.08,0.15,0.29,0.50,0.05,0.14,0.50,0.28,0.18,0.09,0.42,0.48,0.59,0.16,0.43
0.02,-0.01,0.09,0.03,0.04,N/A,0.12,0.02,0.05,0.10,-0.01,-0.04,-0.02,0.08,1,0.09,-0.02,0.10,0.18,0.03,0.06,0.02,-0.02,0.07,-0.00,0.04,0.10,0.02,0.01
0.10,-0.04,0.08,-0.06,0.08,N/A,0.15,-0.01,0.01,0.16,-0.02,0.01,0.12,0.15,0.09,1,0.07,0.13,0.04,0.07,0.09,0.01,0.07,0.02,0.13,0.15,0.18,-0.05,0.11
