1,0.19,0.12,0.40,0.70,0.07,0.35,0.58,0.46,0.18,0.81,0.14,0.33,0.71,0.41,0.18,0.27,0.42,0.09,0.03,0.56,0.05
0.19,1,0.04,0.12,0.17,-0.02,0.03,0.14,0.20,-0.07,0.17,0.21,0.15,0.13,0.09,0.01,0.07,0.14,0.23,-0.01,0.28,0.01
0.12,0.04,1,0.07,0.11,-0.07,0.03,0.20,0.05,0.01,0.12,0.14,-0.02,0.05,0.08,0.04,0.31,0.06,-0.01,-0.02,0.11,-0.00
0.40,0.12,0.07,1,0.47,0.10,0.12,0.33,0.25,-0.01,0.47,0.09,0.27,0.40,0.21,-0.01,0.09,0.27,0.06,0.08,0.46,0.04
0.70,0.17,0.11,0.47,1,0.12,0.25,0.60,0.41,0.17,0.79,0.17,0.31,0.61,0.35,0.11,0.35,0.33,0.08,0.13,0.58,0.03
0.07,-0.02,-0.07,0.10,0.12,1,0.12,-0.02,0.01,-0.07,0.06,0.01,0.08,-0.02,-0.02,0.08,0.02,0.00,0.05,-0.01,0.07,0.00
0.35,0.03,0.03,0.12,0.25,0.12,1,0.14,0.11,0.06,0.23,0.03,0.12,0.21,0.17,0.03,0.10,0.15,0.04,-0.09,0.16,0.04
0.58,0.14,0.20,0.33,0.60,-0.02,0.14,1,0.40,0.07,0.62,0.10,0.27,0.53,0.31,0.03,0.30,0.31,0.02,0.04,0.46,0.04
0.46,0.20,0.05,0.25,0.41,0.01,0.11,0.40,1,0.06,0.46,0.06,0.24,0.42,0.25,0.09,0.22,0.31,0.03,-0.00,0.34,0.01
0.18,-0.07,0.01,-0.01,0.17,-0.07,0.06,0.07,0.06,1,0.13,-0.06,0.06,0.12,0.04,0.44,-0.01,0.14,0.03,-0.01,0.03,-0.03
0.81,0.17,0.12,0.47,0.79,0.06,0.23,0.62,0.46,0.13,1,0.15,0.37,0.71,0.39,0.07,0.33,0.39,0.13,0.01,0.61,0.06
0.14,0.21,0.14,0.09,0.17,0.01,0.03,0.10,0.06,-0.06,0.15,1,0.10,0.08,0.04,0.03,0.21,0.12,0.30,0.00,0.22,-0.01
0.33,0.15,-0.02,0.27,0.31,0.08,0.12,0.27,0.24,0.06,0.37,0.10,1,0.29,0.08,-0.02,0.10,0.33,0.18,0.04,0.43,0.15
0.71,0.13,0.05,0.40,0.61,-0.02,0.21,0.53,0.42,0.12,0.71,0.08,0.29,1,0.29,0.05,0.28,0.30,0.12,0.02,0.49,0.05
0.41,0.09,0.08,0.21,0.35,-0.02,0.17,0.31,0.25,0.04,0.39,0.04,0.08,0.29,1,0.02,0.17,0.27,0.03,0.06,0.26,0.01
0.18,0.01,0.04,-0.01,0.11,0.08,0.03,0.03,0.09,0.44,0.07,0.03,-0.02,0.05,0.02,1,0.04,0.11,0.04,-0.07,0.04,0.01
0.27,0.07,0.31,0.09,0.35,0.02,0.10,0.30,0.22,-0.01,0.33,0.21,0.10,0.28,0.17,0.04,1,0.12,0.01,-0.00,0.23,0.00
0.42,0.14,0.06,0.27,0.33,0.00,0.15,0.31,0.31,0.14,0.39,0.12,0.33,0.30,0.27,0.11,0.12,1,0.26,-0.01,0.36,0.01
0.09,0.23,-0.01,0.06,0.08,0.05,0.04,0.02,0.03,0.03,0.13,0.30,0.18,0.12,0.03,0.04,0.01,0.26,1,0.00,0.14,-0.00
0.03,-0.01,-0.02,0.08,0.13,-0.01,-0.09,0.04,-0.00,-0.01,0.01,0.00,0.04,0.02,0.06,-0.07,-0.00,-0.01,0.00,1,-0.00,0.03
0.56,0.28,0.11,0.46,0.58,0.07,0.16,0.46,0.34,0.03,0.61,0.22,0.43,0.49,0.26,0.04,0.23,0.36,0.14,-0.00,1,0.09
0.05,0.01,-0.00,0.04,0.03,0.00,0.04,0.04,0.01,-0.03,0.06,-0.01,0.15,0.05,0.01,0.01,0.00,0.01,-0.00,0.03,0.09,1
