1,0.36,N/A,0.08,0.37,0.31,0.36,N/A,0.42,N/A,0.69,0.10,0.29,0.31,N/A,0.24,0.41,0.54,0.32,0.40
0.36,1,N/A,0.02,0.21,0.13,0.26,N/A,0.28,N/A,0.41,0.13,0.12,0.15,N/A,0.21,0.20,0.40,0.18,0.42
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.02,N/A,1,0.07,0.01,0.09,N/A,0.17,N/A,0.14,0.12,0.15,0.04,N/A,0.04,0.09,0.17,0.01,0.03
0.37,0.21,N/A,0.07,1,0.06,0.13,N/A,0.48,N/A,0.47,0.01,0.31,0.30,N/A,0.32,0.46,0.37,0.06,0.22
0.31,0.13,N/A,0.01,0.06,1,0.45,N/A,0.13,N/A,0.35,0.16,0.21,0.06,N/A,0.05,0.17,0.36,0.13,0.34
0.36,0.26,N/A,0.09,0.13,0.45,1,N/A,0.25,N/A,0.46,0.18,0.13,0.11,N/A,0.06,0.14,0.37,0.24,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.42,0.28,N/A,0.17,0.48,0.13,0.25,N/A,1,N/A,0.53,0.01,0.27,0.26,N/A,0.26,0.39,0.46,0.12,0.24
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.69,0.41,N/A,0.14,0.47,0.35,0.46,N/A,0.53,N/A,1,0.20,0.41,0.46,N/A,0.31,0.56,0.67,0.29,0.49
0.10,0.13,N/A,0.12,0.01,0.16,0.18,N/A,0.01,N/A,0.20,1,0.06,0.13,N/A,0.04,0.09,0.16,0.05,0.04
0.29,0.12,N/A,0.15,0.31,0.21,0.13,N/A,0.27,N/A,0.41,0.06,1,0.31,N/A,0.14,0.25,0.28,0.04,0.34
0.31,0.15,N/A,0.04,0.30,0.06,0.11,N/A,0.26,N/A,0.46,0.13,0.31,1,N/A,0.26,0.43,0.33,0.11,0.17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.24,0.21,N/A,0.04,0.32,0.05,0.06,N/A,0.26,N/A,0.31,0.04,0.14,0.26,N/A,1,0.48,0.19,0.06,0.15
0.41,0.20,N/A,0.09,0.46,0.17,0.14,N/A,0.39,N/A,0.56,0.09,0.25,0.43,N/A,0.48,1,0.48,0.09,0.21
0.54,0.40,N/A,0.17,0.37,0.36,0.37,N/A,0.46,N/A,0.67,0.16,0.28,0.33,N/A,0.19,0.48,1,0.28,0.50
0.32,0.18,N/A,0.01,0.06,0.13,0.24,N/A,0.12,N/A,0.29,0.05,0.04,0.11,N/A,0.06,0.09,0.28,1,0.25
0.40,0.42,N/A,0.03,0.22,0.34,0.30,N/A,0.24,N/A,0.49,0.04,0.34,0.17,N/A,0.15,0.21,0.50,0.25,1
