1,-0.02,0.16,0.01,N/A,0.14,0.17,0.14,0.03,-0.02,0.24,0.16
-0.02,1,0.19,0.04,N/A,0.07,0.04,0.00,0.04,-0.01,0.11,0.04
0.16,0.19,1,0.09,N/A,0.23,0.22,0.09,0.08,0.03,0.62,0.21
0.01,0.04,0.09,1,N/A,0.07,0.03,0.05,0.42,0.01,0.17,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.07,0.23,0.07,N/A,1,0.58,0.10,0.05,0.15,0.32,0.58
0.17,0.04,0.22,0.03,N/A,0.58,1,0.16,0.03,0.02,0.22,1.00
0.14,0.00,0.09,0.05,N/A,0.10,0.16,1,0.03,-0.01,0.19,0.16
0.03,0.04,0.08,0.42,N/A,0.05,0.03,0.03,1,-0.01,0.12,0.03
-0.02,-0.01,0.03,0.01,N/A,0.15,0.02,-0.01,-0.01,1,0.04,0.01
0.24,0.11,0.62,0.17,N/A,0.32,0.22,0.19,0.12,0.04,1,0.21
0.16,0.04,0.21,0.03,N/A,0.58,1.00,0.16,0.03,0.01,0.21,1
