1,0.07,0.27,0.18,0.25,0.20,0.11,0.06,0.27,0.10,0.26,0.25,0.27,0.28,0.22,0.31,0.28,0.21,0.18,0.24,0.18,0.26,0.33,0.06,0.14,0.29,0.23,0.21,0.03,0.18,0.26,0.25,0.06,0.20,0.25,0.28,0.21,0.27,0.17,0.14,N/A,0.15,0.10,0.21,0.27,0.22,0.15,0.24,0.08,0.24,0.23,0.08,0.28
0.07,1,0.32,0.10,0.11,0.24,0.17,0.10,0.28,0.15,0.31,0.21,0.21,0.28,0.20,0.30,0.23,0.16,0.18,0.26,0.19,0.22,0.36,0.04,0.19,0.30,0.21,0.16,0.05,0.09,0.30,0.18,0.03,0.06,0.22,0.28,0.23,0.26,0.16,0.17,N/A,0.10,0.11,0.23,0.30,0.05,0.17,0.27,0.01,0.27,0.24,0.10,0.24
0.27,0.32,1,0.25,0.45,0.34,0.16,0.21,0.79,0.30,0.69,0.51,0.56,0.87,0.54,0.79,0.56,0.53,0.37,0.64,0.41,0.56,0.94,0.24,0.23,0.86,0.49,0.46,0.09,0.31,0.76,0.54,0.14,0.30,0.58,0.83,0.57,0.83,0.48,0.07,N/A,0.39,0.27,0.65,0.75,0.29,0.48,0.70,0.16,0.76,0.61,0.25,0.38
0.18,0.10,0.25,1,0.18,0.31,0.21,0.10,0.32,0.08,0.20,0.35,0.25,0.23,0.20,0.34,0.24,0.20,0.28,0.29,0.32,0.23,0.27,0.27,0.48,0.24,0.22,0.10,0.10,0.21,0.20,0.21,0.22,0.18,0.24,0.31,0.24,0.20,0.18,0.09,N/A,0.17,0.29,0.34,0.26,0.36,0.18,0.27,0.10,0.26,0.25,0.29,0.11
0.25,0.11,0.45,0.18,1,0.24,0.18,0.29,0.41,0.29,0.42,0.31,0.39,0.42,0.29,0.48,0.33,0.30,0.25,0.38,0.25,0.31,0.47,0.37,0.20,0.40,0.25,0.24,0.08,0.21,0.43,0.67,0.18,0.30,0.35,0.44,0.34,0.37,0.27,0.12,N/A,0.26,0.10,0.28,0.35,0.37,0.26,0.38,0.04,0.41,0.38,0.23,0.25
0.20,0.24,0.34,0.31,0.24,1,0.43,0.11,0.42,0.07,0.33,0.48,0.37,0.32,0.31,0.48,0.35,0.29,0.48,0.44,0.43,0.29,0.40,0.14,0.52,0.34,0.29,0.21,0.17,0.30,0.35,0.21,0.09,0.14,0.39,0.43,0.38,0.27,0.29,0.04,N/A,0.17,0.30,0.41,0.39,0.21,0.32,0.43,0.14,0.42,0.41,0.23,0.23
0.11,0.17,0.16,0.21,0.18,0.43,1,-0.03,0.21,0.00,0.16,0.31,0.18,0.18,0.19,0.26,0.20,0.21,0.35,0.27,0.29,0.23,0.22,0.04,0.23,0.19,0.18,0.10,0.08,0.17,0.18,0.10,-0.02,0.06,0.25,0.21,0.21,0.14,0.17,0.00,N/A,0.08,0.18,0.21,0.21,0.08,0.19,0.25,0.06,0.25,0.20,0.09,0.13
0.06,0.10,0.21,0.10,0.29,0.11,-0.03,1,0.13,0.73,0.30,0.09,0.22,0.23,0.15,0.19,0.21,0.15,0.08,0.22,0.14,0.15,0.22,0.20,0.11,0.22,0.15,0.06,0.05,0.02,0.22,0.27,0.62,-0.00,0.18,0.18,0.22,0.22,0.12,0.15,N/A,0.05,0.05,0.11,0.18,0.13,0.10,0.19,0.03,0.19,0.22,0.11,0.10
0.27,0.28,0.79,0.32,0.41,0.42,0.21,0.13,1,0.21,0.59,0.69,0.57,0.72,0.54,0.90,0.58,0.56,0.42,0.67,0.47,0.58,0.81,0.29,0.29,0.76,0.49,0.40,0.11,0.37,0.73,0.45,0.07,0.31,0.62,0.94,0.61,0.66,0.49,0.04,N/A,0.36,0.47,0.74,0.76,0.31,0.54,0.72,0.18,0.75,0.63,0.29,0.38
0.10,0.15,0.30,0.08,0.29,0.07,0.00,0.73,0.21,1,0.37,0.13,0.29,0.34,0.18,0.26,0.29,0.21,0.11,0.29,0.16,0.23,0.30,0.22,0.07,0.33,0.25,0.10,0.05,0.05,0.34,0.30,0.58,0.03,0.23,0.25,0.29,0.33,0.19,0.13,N/A,0.12,0.05,0.17,0.25,0.17,0.14,0.26,0.02,0.26,0.29,0.11,0.14
0.26,0.31,0.69,0.20,0.42,0.33,0.16,0.30,0.59,0.37,1,0.40,0.67,0.73,0.53,0.64,0.66,0.52,0.33,0.66,0.40,0.53,0.71,0.25,0.25,0.72,0.58,0.39,0.09,0.28,0.65,0.53,0.20,0.24,0.60,0.64,0.61,0.68,0.48,0.08,N/A,0.29,0.19,0.48,0.59,0.24,0.35,0.62,0.14,0.62,0.72,0.21,0.31
0.25,0.21,0.51,0.35,0.31,0.48,0.31,0.09,0.69,0.13,0.40,1,0.44,0.43,0.38,0.75,0.47,0.41,0.65,0.52,0.61,0.45,0.58,0.24,0.45,0.45,0.37,0.25,0.08,0.31,0.50,0.30,0.07,0.22,0.50,0.71,0.46,0.37,0.35,0.07,N/A,0.36,0.36,0.56,0.53,0.27,0.36,0.53,0.13,0.50,0.47,0.23,0.34
0.27,0.21,0.56,0.25,0.39,0.37,0.18,0.22,0.57,0.29,0.67,0.44,1,0.56,0.74,0.61,0.91,0.70,0.36,0.78,0.43,0.73,0.59,0.21,0.26,0.58,0.73,0.36,0.08,0.26,0.55,0.47,0.20,0.19,0.80,0.59,0.82,0.53,0.69,0.09,N/A,0.26,0.21,0.45,0.59,0.25,0.58,0.74,0.15,0.67,0.83,0.27,0.30
0.28,0.28,0.87,0.23,0.42,0.32,0.18,0.23,0.72,0.34,0.73,0.43,0.56,1,0.52,0.70,0.57,0.53,0.34,0.66,0.38,0.55,0.84,0.26,0.22,0.98,0.49,0.47,0.10,0.29,0.79,0.51,0.13,0.29,0.58,0.74,0.58,0.99,0.48,0.06,N/A,0.35,0.21,0.57,0.68,0.28,0.48,0.70,0.18,0.78,0.60,0.21,0.33
0.22,0.20,0.54,0.20,0.29,0.31,0.19,0.15,0.54,0.18,0.53,0.38,0.74,0.52,1,0.53,0.75,0.83,0.29,0.83,0.29,0.82,0.55,0.16,0.21,0.55,0.50,0.37,0.03,0.24,0.52,0.34,0.09,0.15,0.84,0.53,0.82,0.49,0.76,0.04,N/A,0.22,0.17,0.39,0.64,0.22,0.84,0.85,0.09,0.82,0.82,0.22,0.26
