1,0.19,0.06,0.32,0.05,0.05,0.21,0.13,0.21,0.41,0.29,0.30,0.29,0.58,0.13,0.21,0.27,0.11,0.22,0.37,N/A,0.03,0.34,0.09,0.32
0.19,1,0.03,0.07,0.06,0.04,0.12,0.05,0.10,0.19,0.03,0.03,0.16,0.13,0.08,0.18,0.11,-0.04,0.18,0.20,N/A,0.04,0.02,0.12,0.16
0.06,0.03,1,0.31,0.13,-0.00,0.07,0.29,0.06,0.11,0.23,0.14,0.24,0.09,0.29,0.06,0.34,0.03,0.22,0.37,N/A,0.15,0.19,0.06,0.22
0.32,0.07,0.31,1,0.03,0.01,0.17,0.22,0.11,0.31,0.32,0.37,0.52,0.18,0.22,0.24,0.34,0.16,0.31,0.55,N/A,0.10,0.30,0.09,0.29
0.05,0.06,0.13,0.03,1,0.03,0.03,0.08,0.07,0.07,0.10,0.04,0.02,0.01,-0.00,0.03,0.12,0.03,0.02,0.07,N/A,0.09,0.05,0.05,0.05
0.05,0.04,-0.00,0.01,0.03,1,0.02,0.11,0.07,0.01,0.01,0.04,-0.01,0.04,0.04,0.02,0.07,-0.01,0.08,0.15,N/A,0.05,0.02,0.79,0.01
0.21,0.12,0.07,0.17,0.03,0.02,1,0.05,0.36,0.14,0.28,0.27,0.11,0.08,0.04,0.20,0.21,0.10,0.09,0.16,N/A,0.02,0.20,0.10,0.41
0.13,0.05,0.29,0.22,0.08,0.11,0.05,1,0.09,0.14,0.40,0.14,0.12,0.11,0.21,0.13,0.39,0.14,0.16,0.35,N/A,0.13,0.28,0.17,0.31
0.21,0.10,0.06,0.11,0.07,0.07,0.36,0.09,1,0.15,0.26,0.17,0.16,0.12,-0.00,0.12,0.13,-0.06,0.12,0.26,N/A,0.08,0.14,0.14,0.27
0.41,0.19,0.11,0.31,0.07,0.01,0.14,0.14,0.15,1,0.18,0.15,0.46,0.27,0.26,0.24,0.38,0.05,0.30,0.33,N/A,0.34,0.24,0.07,0.19
0.29,0.03,0.23,0.32,0.10,0.01,0.28,0.40,0.26,0.18,1,0.35,0.12,0.23,0.15,0.19,0.41,0.13,0.13,0.40,N/A,0.03,0.43,0.03,0.46
0.30,0.03,0.14,0.37,0.04,0.04,0.27,0.14,0.17,0.15,0.35,1,0.19,0.13,0.07,0.15,0.33,0.22,0.14,0.28,N/A,0.09,0.22,0.12,0.27
0.29,0.16,0.24,0.52,0.02,-0.01,0.11,0.12,0.16,0.46,0.12,0.19,1,0.22,0.27,0.17,0.25,0.05,0.38,0.47,N/A,0.27,0.16,0.07,0.13
0.58,0.13,0.09,0.18,0.01,0.04,0.08,0.11,0.12,0.27,0.23,0.13,0.22,1,0.09,0.06,0.14,-0.00,0.25,0.29,N/A,-0.00,0.20,0.05,0.14
0.13,0.08,0.29,0.22,-0.00,0.04,0.04,0.21,-0.00,0.26,0.15,0.07,0.27,0.09,1,0.07,0.57,0.08,0.13,0.37,N/A,0.14,0.25,0.05,0.19
0.21,0.18,0.06,0.24,0.03,0.02,0.20,0.13,0.12,0.24,0.19,0.15,0.17,0.06,0.07,1,0.19,0.06,0.14,0.20,N/A,0.08,0.29,0.12,0.20
0.27,0.11,0.34,0.34,0.12,0.07,0.21,0.39,0.13,0.38,0.41,0.33,0.25,0.14,0.57,0.19,1,0.13,0.18,0.48,N/A,0.18,0.50,0.13,0.39
0.11,-0.04,0.03,0.16,0.03,-0.01,0.10,0.14,-0.06,0.05,0.13,0.22,0.05,-0.00,0.08,0.06,0.13,1,0.02,0.10,N/A,0.15,0.15,0.00,0.04
0.22,0.18,0.22,0.31,0.02,0.08,0.09,0.16,0.12,0.30,0.13,0.14,0.38,0.25,0.13,0.14,0.18,0.02,1,0.47,N/A,0.23,0.15,0.15,0.13
0.37,0.20,0.37,0.55,0.07,0.15,0.16,0.35,0.26,0.33,0.40,0.28,0.47,0.29,0.37,0.20,0.48,0.10,0.47,1,N/A,0.15,0.37,0.19,0.41
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.04,0.15,0.10,0.09,0.05,0.02,0.13,0.08,0.34,0.03,0.09,0.27,-0.00,0.14,0.08,0.18,0.15,0.23,0.15,N/A,1,0.04,0.14,0.00
0.34,0.02,0.19,0.30,0.05,0.02,0.20,0.28,0.14,0.24,0.43,0.22,0.16,0.20,0.25,0.29,0.50,0.15,0.15,0.37,N/A,0.04,1,0.07,0.40
0.09,0.12,0.06,0.09,0.05,0.79,0.10,0.17,0.14,0.07,0.03,0.12,0.07,0.05,0.05,0.12,0.13,0.00,0.15,0.19,N/A,0.14,0.07,1,0.13
0.32,0.16,0.22,0.29,0.05,0.01,0.41,0.31,0.27,0.19,0.46,0.27,0.13,0.14,0.19,0.20,0.39,0.04,0.13,0.41,N/A,0.00,0.40,0.13,1
