1,0.21,-0.01,N/A,0.23,0.16,-0.00,0.24,0.03,0.13,N/A,N/A,-0.01,0.04,N/A,0.19,N/A,0.20,0.21,-0.01,0.05,N/A,0.11,-0.03,0.15
0.21,1,0.02,N/A,0.14,0.15,0.04,0.20,0.02,0.24,N/A,N/A,0.07,0.11,N/A,0.11,N/A,0.19,0.07,-0.02,0.09,N/A,0.09,-0.04,0.06
-0.01,0.02,1,N/A,0.00,0.02,0.31,-0.01,0.01,0.12,N/A,N/A,-0.02,0.02,N/A,0.16,N/A,0.15,-0.00,-0.01,-0.02,N/A,-0.01,-0.03,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.23,0.14,0.00,N/A,1,0.17,0.11,0.29,0.02,0.21,N/A,N/A,0.09,0.10,N/A,0.10,N/A,0.19,0.16,0.18,0.07,N/A,0.08,0.08,0.23
0.16,0.15,0.02,N/A,0.17,1,0.06,0.27,0.03,0.21,N/A,N/A,0.14,0.14,N/A,0.22,N/A,0.25,0.21,0.06,0.09,N/A,0.16,0.08,0.18
-0.00,0.04,0.31,N/A,0.11,0.06,1,0.07,0.08,0.12,N/A,N/A,0.03,0.12,N/A,0.45,N/A,0.16,0.19,0.04,0.51,N/A,0.16,0.11,0.15
0.24,0.20,-0.01,N/A,0.29,0.27,0.07,1,0.08,0.20,N/A,N/A,0.03,0.18,N/A,0.21,N/A,0.19,0.29,0.06,0.16,N/A,0.18,0.06,0.48
0.03,0.02,0.01,N/A,0.02,0.03,0.08,0.08,1,0.09,N/A,N/A,-0.04,0.07,N/A,0.30,N/A,0.10,0.07,0.04,0.06,N/A,0.24,0.05,0.04
0.13,0.24,0.12,N/A,0.21,0.21,0.12,0.20,0.09,1,N/A,N/A,0.14,0.04,N/A,0.23,N/A,0.46,0.17,0.00,0.18,N/A,0.20,0.01,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,0.07,-0.02,N/A,0.09,0.14,0.03,0.03,-0.04,0.14,N/A,N/A,1,0.06,N/A,0.05,N/A,0.15,0.17,0.04,0.05,N/A,0.03,0.03,0.10
0.04,0.11,0.02,N/A,0.10,0.14,0.12,0.18,0.07,0.04,N/A,N/A,0.06,1,N/A,0.06,N/A,0.03,0.21,0.05,0.05,N/A,0.17,0.05,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,0.11,0.16,N/A,0.10,0.22,0.45,0.21,0.30,0.23,N/A,N/A,0.05,0.06,N/A,1,N/A,0.30,0.19,0.02,0.33,N/A,0.26,0.04,0.25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.20,0.19,0.15,N/A,0.19,0.25,0.16,0.19,0.10,0.46,N/A,N/A,0.15,0.03,N/A,0.30,N/A,1,0.21,0.01,0.31,N/A,0.21,0.10,0.17
0.21,0.07,-0.00,N/A,0.16,0.21,0.19,0.29,0.07,0.17,N/A,N/A,0.17,0.21,N/A,0.19,N/A,0.21,1,0.03,0.32,N/A,0.25,0.20,0.21
-0.01,-0.02,-0.01,N/A,0.18,0.06,0.04,0.06,0.04,0.00,N/A,N/A,0.04,0.05,N/A,0.02,N/A,0.01,0.03,1,0.07,N/A,0.03,0.02,0.03
0.05,0.09,-0.02,N/A,0.07,0.09,0.51,0.16,0.06,0.18,N/A,N/A,0.05,0.05,N/A,0.33,N/A,0.31,0.32,0.07,1,N/A,0.22,0.25,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.09,-0.01,N/A,0.08,0.16,0.16,0.18,0.24,0.20,N/A,N/A,0.03,0.17,N/A,0.26,N/A,0.21,0.25,0.03,0.22,N/A,1,0.12,0.12
-0.03,-0.04,-0.03,N/A,0.08,0.08,0.11,0.06,0.05,0.01,N/A,N/A,0.03,0.05,N/A,0.04,N/A,0.10,0.20,0.02,0.25,N/A,0.12,1,0.12
0.15,0.06,0.00,N/A,0.23,0.18,0.15,0.48,0.04,0.18,N/A,N/A,0.10,0.15,N/A,0.25,N/A,0.17,0.21,0.03,0.09,N/A,0.12,0.12,1
