1,0.39,0.06,0.12,0.05,0.01,-0.00,N/A,0.33,0.20,0.03,0.15,0.67,0.45,N/A,N/A,0.24,0.13,0.11,N/A,0.04
0.39,1,0.09,0.35,0.02,0.20,0.23,N/A,0.36,0.53,0.17,0.28,0.42,0.56,N/A,N/A,0.24,0.16,0.20,N/A,0.09
0.06,0.09,1,-0.03,-0.01,0.08,0.28,N/A,0.10,0.08,0.09,-0.02,0.04,0.13,N/A,N/A,-0.00,0.06,0.03,N/A,0.01
0.12,0.35,-0.03,1,-0.02,0.22,0.13,N/A,0.15,0.26,0.13,0.08,0.09,0.26,N/A,N/A,0.14,0.09,0.08,N/A,-0.00
0.05,0.02,-0.01,-0.02,1,-0.03,0.35,N/A,-0.00,0.01,0.00,0.02,0.01,0.02,N/A,N/A,-0.01,0.00,0.02,N/A,-0.00
0.01,0.20,0.08,0.22,-0.03,1,0.22,N/A,0.11,0.19,0.00,0.04,-0.00,0.10,N/A,N/A,0.07,0.01,0.01,N/A,-0.00
-0.00,0.23,0.28,0.13,0.35,0.22,1,N/A,0.24,0.18,0.05,0.02,-0.00,0.12,N/A,N/A,0.07,0.06,0.05,N/A,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.33,0.36,0.10,0.15,-0.00,0.11,0.24,N/A,1,0.24,0.05,0.12,0.31,0.37,N/A,N/A,0.14,0.07,0.11,N/A,0.00
0.20,0.53,0.08,0.26,0.01,0.19,0.18,N/A,0.24,1,0.07,0.16,0.21,0.34,N/A,N/A,0.12,0.15,0.12,N/A,0.10
0.03,0.17,0.09,0.13,0.00,0.00,0.05,N/A,0.05,0.07,1,0.05,0.09,0.17,N/A,N/A,0.01,0.14,0.20,N/A,0.00
0.15,0.28,-0.02,0.08,0.02,0.04,0.02,N/A,0.12,0.16,0.05,1,0.09,0.23,N/A,N/A,0.50,0.01,0.07,N/A,0.07
0.67,0.42,0.04,0.09,0.01,-0.00,-0.00,N/A,0.31,0.21,0.09,0.09,1,0.43,N/A,N/A,0.17,0.21,0.16,N/A,-0.01
0.45,0.56,0.13,0.26,0.02,0.10,0.12,N/A,0.37,0.34,0.17,0.23,0.43,1,N/A,N/A,0.22,0.10,0.20,N/A,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.24,0.24,-0.00,0.14,-0.01,0.07,0.07,N/A,0.14,0.12,0.01,0.50,0.17,0.22,N/A,N/A,1,0.03,0.02,N/A,0.12
0.13,0.16,0.06,0.09,0.00,0.01,0.06,N/A,0.07,0.15,0.14,0.01,0.21,0.10,N/A,N/A,0.03,1,0.04,N/A,-0.01
0.11,0.20,0.03,0.08,0.02,0.01,0.05,N/A,0.11,0.12,0.20,0.07,0.16,0.20,N/A,N/A,0.02,0.04,1,N/A,-0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.09,0.01,-0.00,-0.00,-0.00,0.00,N/A,0.00,0.10,0.00,0.07,-0.01,0.08,N/A,N/A,0.12,-0.01,-0.00,N/A,1
