1,0.00,N/A,0.35,0.02,0.17,N/A,0.02,0.28,0.05,N/A,N/A,0.03,N/A,0.05,0.01,0.12,0.27
0.00,1,N/A,0.02,0.01,0.05,N/A,0.06,0.10,-0.00,N/A,N/A,0.01,N/A,-0.01,0.01,0.01,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.35,0.02,N/A,1,0.06,0.28,N/A,0.05,0.36,-0.01,N/A,N/A,0.12,N/A,0.01,0.03,0.05,0.43
0.02,0.01,N/A,0.06,1,0.21,N/A,0.06,0.11,-0.01,N/A,N/A,0.01,N/A,-0.05,0.03,-0.00,0.02
0.17,0.05,N/A,0.28,0.21,1,N/A,0.45,0.54,0.01,N/A,N/A,0.14,N/A,0.06,0.11,0.06,0.25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.06,N/A,0.05,0.06,0.45,N/A,1,0.26,0.02,N/A,N/A,0.04,N/A,0.06,0.29,0.02,0.04
0.28,0.10,N/A,0.36,0.11,0.54,N/A,0.26,1,0.10,N/A,N/A,0.13,N/A,0.08,0.13,0.05,0.30
0.05,-0.00,N/A,-0.01,-0.01,0.01,N/A,0.02,0.10,1,N/A,N/A,-0.04,N/A,-0.17,0.04,-0.03,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.01,N/A,0.12,0.01,0.14,N/A,0.04,0.13,-0.04,N/A,N/A,1,N/A,0.06,-0.01,-0.01,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,-0.01,N/A,0.01,-0.05,0.06,N/A,0.06,0.08,-0.17,N/A,N/A,0.06,N/A,1,0.09,0.03,-0.04
0.01,0.01,N/A,0.03,0.03,0.11,N/A,0.29,0.13,0.04,N/A,N/A,-0.01,N/A,0.09,1,-0.01,0.05
0.12,0.01,N/A,0.05,-0.00,0.06,N/A,0.02,0.05,-0.03,N/A,N/A,-0.01,N/A,0.03,-0.01,1,0.00
0.27,0.00,N/A,0.43,0.02,0.25,N/A,0.04,0.30,0.01,N/A,N/A,0.06,N/A,-0.04,0.05,0.00,1
