1,0.04,N/A,0.10,0.15,0.04,0.12,0.07,0.01,0.03,-0.05,0.19,0.05,N/A,0.20,0.15,0.14,0.06,0.01,-0.03,-0.03,0.20,0.15,N/A,0.09,0.20,0.18,0.08,N/A,0.17,0.02,0.17
0.04,1,N/A,0.05,0.06,0.04,0.04,0.00,0.02,0.05,0.07,0.15,0.19,N/A,0.07,0.02,0.05,-0.03,0.27,-0.02,0.00,0.15,0.15,N/A,0.09,0.09,0.33,0.01,N/A,0.02,0.05,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.05,N/A,1,0.20,0.10,0.12,0.03,0.18,0.22,0.23,0.26,0.37,N/A,0.40,0.10,0.23,0.12,0.08,0.11,0.01,0.18,0.31,N/A,0.22,0.35,0.14,0.31,N/A,0.04,0.10,0.44
0.15,0.06,N/A,0.20,1,0.02,0.08,0.02,0.14,0.03,0.07,0.52,0.18,N/A,0.29,0.09,0.26,-0.02,0.04,0.04,0.06,0.27,0.17,N/A,0.24,0.29,0.15,0.32,N/A,0.24,0.15,0.27
0.04,0.04,N/A,0.10,0.02,1,0.02,0.03,0.06,0.03,0.01,0.01,0.11,N/A,0.15,0.18,0.06,-0.03,-0.01,0.02,-0.00,0.01,0.04,N/A,0.09,0.16,0.08,0.05,N/A,0.01,0.03,0.01
0.12,0.04,N/A,0.12,0.08,0.02,1,0.10,0.22,0.10,0.02,0.14,0.05,N/A,0.16,0.05,0.08,0.02,0.00,0.06,0.03,0.16,0.06,N/A,0.16,0.19,0.09,0.11,N/A,0.11,0.07,0.17
0.07,0.00,N/A,0.03,0.02,0.03,0.10,1,0.02,0.05,-0.01,0.04,0.08,N/A,0.07,0.03,0.05,-0.01,0.02,0.06,0.02,0.09,0.05,N/A,0.03,0.08,0.04,0.05,N/A,0.01,0.01,0.07
0.01,0.02,N/A,0.18,0.14,0.06,0.22,0.02,1,0.20,0.15,0.11,0.26,N/A,0.36,0.12,0.10,0.00,0.08,0.08,-0.01,0.08,0.09,N/A,0.10,0.32,0.08,0.32,N/A,-0.00,0.20,0.12
0.03,0.05,N/A,0.22,0.03,0.03,0.10,0.05,0.20,1,0.23,0.05,0.19,N/A,0.22,0.05,0.10,0.01,-0.01,0.03,-0.03,0.03,0.09,N/A,0.05,0.24,0.00,0.13,N/A,0.08,0.13,0.05
-0.05,0.07,N/A,0.23,0.07,0.01,0.02,-0.01,0.15,0.23,1,0.11,0.12,N/A,0.19,0.04,0.15,0.10,0.03,0.01,0.02,0.01,0.07,N/A,0.08,0.19,0.07,0.08,N/A,0.02,0.06,0.15
0.19,0.15,N/A,0.26,0.52,0.01,0.14,0.04,0.11,0.05,0.11,1,0.14,N/A,0.33,0.15,0.34,0.07,0.03,0.13,-0.00,0.37,0.13,N/A,0.33,0.31,0.30,0.25,N/A,0.08,0.08,0.26
