1,0.18,0.03,0.09,0.07,0.13,0.19,0.27,0.17,N/A,N/A,0.07,0.03,-0.01,0.14,-0.04,0.10
0.18,1,0.03,0.18,0.27,0.09,0.16,0.31,0.25,N/A,N/A,0.24,0.09,0.19,0.10,-0.02,0.12
0.03,0.03,1,-0.04,0.07,0.04,0.00,0.02,-0.01,N/A,N/A,0.07,0.06,0.05,0.02,-0.06,0.26
0.09,0.18,-0.04,1,0.13,0.14,0.15,0.08,0.19,N/A,N/A,0.16,0.14,0.08,0.07,0.01,0.16
0.07,0.27,0.07,0.13,1,0.20,0.11,0.18,0.30,N/A,N/A,0.23,0.43,0.27,0.15,0.06,0.25
0.13,0.09,0.04,0.14,0.20,1,0.05,0.19,0.15,N/A,N/A,0.18,0.12,0.07,0.13,0.02,0.19
0.19,0.16,0.00,0.15,0.11,0.05,1,0.29,0.26,N/A,N/A,0.19,0.14,0.02,0.20,-0.05,0.11
0.27,0.31,0.02,0.08,0.18,0.19,0.29,1,0.29,N/A,N/A,0.37,0.16,0.04,0.20,-0.00,0.12
0.17,0.25,-0.01,0.19,0.30,0.15,0.26,0.29,1,N/A,N/A,0.44,0.21,0.13,0.20,0.14,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.24,0.07,0.16,0.23,0.18,0.19,0.37,0.44,N/A,N/A,1,0.21,0.20,0.29,-0.01,0.13
0.03,0.09,0.06,0.14,0.43,0.12,0.14,0.16,0.21,N/A,N/A,0.21,1,0.29,0.21,0.01,0.25
-0.01,0.19,0.05,0.08,0.27,0.07,0.02,0.04,0.13,N/A,N/A,0.20,0.29,1,0.10,0.02,0.03
0.14,0.10,0.02,0.07,0.15,0.13,0.20,0.20,0.20,N/A,N/A,0.29,0.21,0.10,1,0.07,0.24
-0.04,-0.02,-0.06,0.01,0.06,0.02,-0.05,-0.00,0.14,N/A,N/A,-0.01,0.01,0.02,0.07,1,-0.02
0.10,0.12,0.26,0.16,0.25,0.19,0.11,0.12,0.14,N/A,N/A,0.13,0.25,0.03,0.24,-0.02,1
