N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.02,0.07,N/A,N/A,N/A,0.27,0.04,N/A,N/A,0.06,0.29,0.10,N/A,0.12,0.04,N/A,N/A,0.10,0.01,0.17,0.16,0.19,-0.02,0.02,0.02,0.21,N/A,0.22
N/A,0.02,1,0.04,N/A,N/A,N/A,0.01,0.26,N/A,N/A,0.02,0.14,0.01,N/A,0.01,-0.01,N/A,N/A,0.08,0.00,0.04,0.21,0.21,0.02,0.03,0.02,-0.01,N/A,0.13
N/A,0.07,0.04,1,N/A,N/A,N/A,-0.01,0.00,N/A,N/A,-0.01,0.13,0.02,N/A,0.15,0.04,N/A,N/A,0.05,0.00,0.11,0.23,0.12,0.03,0.02,0.02,0.02,N/A,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.27,0.01,-0.01,N/A,N/A,N/A,1,0.01,N/A,N/A,0.00,0.12,0.19,N/A,-0.00,-0.01,N/A,N/A,0.01,0.41,0.09,0.06,0.04,0.00,0.00,-0.01,0.40,N/A,0.19
N/A,0.04,0.26,0.00,N/A,N/A,N/A,0.01,1,N/A,N/A,0.05,0.20,0.03,N/A,0.01,-0.00,N/A,N/A,0.09,0.00,0.02,0.16,0.19,0.04,0.02,-0.04,0.01,N/A,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.06,0.02,-0.01,N/A,N/A,N/A,0.00,0.05,N/A,N/A,1,0.06,0.04,N/A,0.05,0.07,N/A,N/A,0.07,0.01,0.05,0.00,0.00,-0.04,-0.05,-0.11,0.01,N/A,0.05
N/A,0.29,0.14,0.13,N/A,N/A,N/A,0.12,0.20,N/A,N/A,0.06,1,0.27,N/A,0.16,0.13,N/A,N/A,0.33,0.12,0.32,0.35,0.44,-0.00,0.12,0.06,0.17,N/A,0.56
N/A,0.10,0.01,0.02,N/A,N/A,N/A,0.19,0.03,N/A,N/A,0.04,0.27,1,N/A,0.02,-0.00,N/A,N/A,0.11,0.15,0.17,0.13,0.09,0.02,0.16,-0.02,0.43,N/A,0.34
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.12,0.01,0.15,N/A,N/A,N/A,-0.00,0.01,N/A,N/A,0.05,0.16,0.02,N/A,1,0.02,N/A,N/A,-0.01,0.00,0.09,0.10,0.02,-0.00,-0.01,0.02,0.01,N/A,0.12
N/A,0.04,-0.01,0.04,N/A,N/A,N/A,-0.01,-0.00,N/A,N/A,0.07,0.13,-0.00,N/A,0.02,1,N/A,N/A,0.05,-0.00,0.17,0.13,0.14,0.01,0.04,-0.00,0.01,N/A,0.13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
