1,0.15,0.48,0.45,0.17,0.26,0.14,0.28,0.17,0.32,0.21,0.33,0.20,0.11,0.20,0.26,0.21,0.23,0.56,0.55,0.46,0.32,0.18
0.15,1,0.26,0.06,0.00,0.01,0.00,0.18,0.19,0.06,0.04,0.05,0.04,-0.01,0.01,-0.03,0.05,0.02,0.10,0.30,0.14,0.15,0.01
0.48,0.26,1,0.41,0.08,0.13,0.08,0.39,0.08,0.28,0.12,0.26,0.17,0.12,0.13,0.02,0.09,0.20,0.43,0.68,0.39,0.38,0.22
0.45,0.06,0.41,1,0.13,0.11,0.31,0.21,0.05,0.23,0.09,0.34,0.23,0.06,0.07,0.06,0.11,0.35,0.44,0.37,0.26,0.33,0.25
0.17,0.00,0.08,0.13,1,0.11,0.06,0.11,0.05,-0.02,0.06,0.18,0.01,-0.02,0.11,-0.06,-0.04,-0.03,0.19,0.09,0.08,0.02,0.09
0.26,0.01,0.13,0.11,0.11,1,0.15,0.07,0.04,0.07,0.18,0.16,0.01,0.15,0.08,0.06,0.08,0.11,0.19,0.16,0.17,0.14,0.08
0.14,0.00,0.08,0.31,0.06,0.15,1,0.06,0.00,0.07,0.01,0.11,-0.03,-0.02,0.06,-0.06,0.06,0.19,0.17,0.09,0.15,0.05,0.04
0.28,0.18,0.39,0.21,0.11,0.07,0.06,1,0.03,0.20,0.04,0.14,0.06,0.03,0.07,0.01,0.19,0.09,0.29,0.58,0.27,0.27,0.05
0.17,0.19,0.08,0.05,0.05,0.04,0.00,0.03,1,0.04,0.05,0.02,0.02,0.11,0.03,-0.03,0.00,0.02,0.09,0.21,0.05,0.11,0.03
0.32,0.06,0.28,0.23,-0.02,0.07,0.07,0.20,0.04,1,0.07,0.24,0.08,0.04,0.04,0.10,0.10,0.20,0.32,0.30,0.30,0.18,0.06
0.21,0.04,0.12,0.09,0.06,0.18,0.01,0.04,0.05,0.07,1,0.10,0.20,-0.01,0.05,-0.03,0.03,0.09,0.24,0.13,0.08,0.11,0.11
0.33,0.05,0.26,0.34,0.18,0.16,0.11,0.14,0.02,0.24,0.10,1,0.20,0.10,0.45,0.01,0.08,0.16,0.36,0.30,0.19,0.19,0.09
0.20,0.04,0.17,0.23,0.01,0.01,-0.03,0.06,0.02,0.08,0.20,0.20,1,0.05,0.06,0.10,0.06,0.01,0.17,0.18,0.11,0.03,0.07
0.11,-0.01,0.12,0.06,-0.02,0.15,-0.02,0.03,0.11,0.04,-0.01,0.10,0.05,1,-0.05,-0.14,0.00,-0.02,0.14,0.08,0.06,0.18,0.03
0.20,0.01,0.13,0.07,0.11,0.08,0.06,0.07,0.03,0.04,0.05,0.45,0.06,-0.05,1,0.13,0.05,0.04,0.17,0.13,0.13,0.06,0.07
0.26,-0.03,0.02,0.06,-0.06,0.06,-0.06,0.01,-0.03,0.10,-0.03,0.01,0.10,-0.14,0.13,1,0.12,0.07,0.16,0.04,0.19,0.02,0.13
0.21,0.05,0.09,0.11,-0.04,0.08,0.06,0.19,0.00,0.10,0.03,0.08,0.06,0.00,0.05,0.12,1,0.08,0.15,0.18,0.22,0.08,0.04
0.23,0.02,0.20,0.35,-0.03,0.11,0.19,0.09,0.02,0.20,0.09,0.16,0.01,-0.02,0.04,0.07,0.08,1,0.33,0.19,0.17,0.18,0.11
0.56,0.10,0.43,0.44,0.19,0.19,0.17,0.29,0.09,0.32,0.24,0.36,0.17,0.14,0.17,0.16,0.15,0.33,1,0.45,0.33,0.36,0.33
0.55,0.30,0.68,0.37,0.09,0.16,0.09,0.58,0.21,0.30,0.13,0.30,0.18,0.08,0.13,0.04,0.18,0.19,0.45,1,0.43,0.34,0.13
0.46,0.14,0.39,0.26,0.08,0.17,0.15,0.27,0.05,0.30,0.08,0.19,0.11,0.06,0.13,0.19,0.22,0.17,0.33,0.43,1,0.27,0.18
0.32,0.15,0.38,0.33,0.02,0.14,0.05,0.27,0.11,0.18,0.11,0.19,0.03,0.18,0.06,0.02,0.08,0.18,0.36,0.34,0.27,1,0.09
0.18,0.01,0.22,0.25,0.09,0.08,0.04,0.05,0.03,0.06,0.11,0.09,0.07,0.03,0.07,0.13,0.04,0.11,0.33,0.13,0.18,0.09,1
