1,0.11,N/A,0.06,-0.04,0.08,N/A,0.17,N/A,0.04,0.55,-0.01
0.11,1,N/A,0.16,0.02,0.24,N/A,0.21,N/A,0.10,0.11,0.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.16,N/A,1,0.06,0.12,N/A,0.20,N/A,0.11,0.10,0.30
-0.04,0.02,N/A,0.06,1,0.05,N/A,0.03,N/A,-0.01,0.05,-0.02
0.08,0.24,N/A,0.12,0.05,1,N/A,0.04,N/A,-0.01,0.03,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.21,N/A,0.20,0.03,0.04,N/A,1,N/A,0.02,0.14,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.10,N/A,0.11,-0.01,-0.01,N/A,0.02,N/A,1,0.03,-0.02
0.55,0.11,N/A,0.10,0.05,0.03,N/A,0.14,N/A,0.03,1,0.02
-0.01,0.16,N/A,0.30,-0.02,0.14,N/A,0.15,N/A,-0.02,0.02,1
