1,0.11,-0.01,-0.02,0.05,0.04,N/A,N/A,0.05,-0.03,0.05,0.04,-0.12
0.11,1,0.15,0.04,0.01,0.04,N/A,N/A,0.02,0.08,0.00,0.06,-0.04
-0.01,0.15,1,0.10,0.01,0.05,N/A,N/A,-0.01,-0.01,0.09,0.10,0.05
-0.02,0.04,0.10,1,0.02,0.04,N/A,N/A,0.03,0.12,0.11,0.24,-0.01
0.05,0.01,0.01,0.02,1,0.06,N/A,N/A,-0.04,0.02,0.08,0.06,-0.01
0.04,0.04,0.05,0.04,0.06,1,N/A,N/A,-0.01,0.07,0.01,0.12,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.02,-0.01,0.03,-0.04,-0.01,N/A,N/A,1,0.06,0.01,0.04,-0.05
-0.03,0.08,-0.01,0.12,0.02,0.07,N/A,N/A,0.06,1,0.07,0.07,-0.01
0.05,0.00,0.09,0.11,0.08,0.01,N/A,N/A,0.01,0.07,1,0.09,0.05
0.04,0.06,0.10,0.24,0.06,0.12,N/A,N/A,0.04,0.07,0.09,1,-0.07
-0.12,-0.04,0.05,-0.01,-0.01,0.05,N/A,N/A,-0.05,-0.01,0.05,-0.07,1
