1,0.10,0.26,0.08,0.29,0.10,0.41,0.02,0.10,0.17,N/A,N/A,-0.02,0.11,0.09,0.38,0.23,0.19,-0.05,0.44,0.09,0.13,0.11,N/A,0.12,0.14
0.10,1,0.16,-0.04,0.04,0.37,0.05,0.14,0.32,0.17,N/A,N/A,0.11,0.21,0.14,0.03,0.24,0.21,-0.04,0.07,0.19,0.22,0.08,N/A,0.18,0.23
0.26,0.16,1,0.11,0.22,0.19,0.24,0.38,0.24,0.53,N/A,N/A,0.22,0.21,0.31,0.27,0.84,0.77,0.17,0.27,0.26,0.20,0.33,N/A,0.29,0.53
0.08,-0.04,0.11,1,-0.01,0.07,0.04,0.14,0.09,0.08,N/A,N/A,0.02,0.03,0.06,0.07,0.15,0.09,0.01,-0.00,0.08,0.09,0.05,N/A,0.07,0.06
0.29,0.04,0.22,-0.01,1,0.09,0.36,0.11,0.10,0.25,N/A,N/A,0.05,0.10,0.12,0.31,0.25,0.18,0.07,0.37,-0.02,0.09,0.05,N/A,-0.01,0.21
0.10,0.37,0.19,0.07,0.09,1,0.02,0.26,0.88,0.23,N/A,N/A,0.04,0.17,0.09,0.00,0.29,0.19,-0.02,0.03,0.23,0.11,0.14,N/A,0.21,0.25
0.41,0.05,0.24,0.04,0.36,0.02,1,0.14,0.04,0.19,N/A,N/A,0.05,0.04,0.09,0.33,0.23,0.14,-0.01,0.63,0.05,0.02,0.05,N/A,0.07,0.17
0.02,0.14,0.38,0.14,0.11,0.26,0.14,1,0.28,0.33,N/A,N/A,0.07,0.15,0.20,0.11,0.44,0.30,-0.02,0.09,0.30,-0.01,0.18,N/A,0.30,0.30
0.10,0.32,0.24,0.09,0.10,0.88,0.04,0.28,1,0.28,N/A,N/A,0.05,0.15,0.10,0.03,0.34,0.25,-0.00,0.04,0.24,0.13,0.17,N/A,0.24,0.29
0.17,0.17,0.53,0.08,0.25,0.23,0.19,0.33,0.28,1,N/A,N/A,0.19,0.13,0.26,0.29,0.64,0.52,0.10,0.22,0.22,0.20,0.26,N/A,0.23,0.48
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.02,0.11,0.22,0.02,0.05,0.04,0.05,0.07,0.05,0.19,N/A,N/A,1,0.02,0.15,0.02,0.32,0.21,-0.05,0.05,0.02,0.09,0.14,N/A,0.03,0.31
0.11,0.21,0.21,0.03,0.10,0.17,0.04,0.15,0.15,0.13,N/A,N/A,0.02,1,0.08,0.07,0.21,0.23,-0.01,0.07,0.26,0.10,0.07,N/A,0.26,0.18
0.09,0.14,0.31,0.06,0.12,0.09,0.09,0.20,0.10,0.26,N/A,N/A,0.15,0.08,1,0.10,0.47,0.27,0.00,0.08,0.17,0.13,0.20,N/A,0.17,0.45
0.38,0.03,0.27,0.07,0.31,0.00,0.33,0.11,0.03,0.29,N/A,N/A,0.02,0.07,0.10,1,0.27,0.18,0.03,0.37,0.02,0.07,0.08,N/A,0.03,0.22
0.23,0.24,0.84,0.15,0.25,0.29,0.23,0.44,0.34,0.64,N/A,N/A,0.32,0.21,0.47,0.27,1,0.72,0.10,0.24,0.28,0.24,0.38,N/A,0.31,0.76
0.19,0.21,0.77,0.09,0.18,0.19,0.14,0.30,0.25,0.52,N/A,N/A,0.21,0.23,0.27,0.18,0.72,1,0.09,0.15,0.31,0.21,0.24,N/A,0.34,0.44
-0.05,-0.04,0.17,0.01,0.07,-0.02,-0.01,-0.02,-0.00,0.10,N/A,N/A,-0.05,-0.01,0.00,0.03,0.10,0.09,1,0.04,0.06,0.12,-0.01,N/A,0.07,0.05
0.44,0.07,0.27,-0.00,0.37,0.03,0.63,0.09,0.04,0.22,N/A,N/A,0.05,0.07,0.08,0.37,0.24,0.15,0.04,1,0.06,0.10,0.11,N/A,0.07,0.19
0.09,0.19,0.26,0.08,-0.02,0.23,0.05,0.30,0.24,0.22,N/A,N/A,0.02,0.26,0.17,0.02,0.28,0.31,0.06,0.06,1,0.00,0.08,N/A,0.96,0.19
0.13,0.22,0.20,0.09,0.09,0.11,0.02,-0.01,0.13,0.20,N/A,N/A,0.09,0.10,0.13,0.07,0.24,0.21,0.12,0.10,0.00,1,0.11,N/A,0.01,0.24
0.11,0.08,0.33,0.05,0.05,0.14,0.05,0.18,0.17,0.26,N/A,N/A,0.14,0.07,0.20,0.08,0.38,0.24,-0.01,0.11,0.08,0.11,1,N/A,0.10,0.26
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.18,0.29,0.07,-0.01,0.21,0.07,0.30,0.24,0.23,N/A,N/A,0.03,0.26,0.17,0.03,0.31,0.34,0.07,0.07,0.96,0.01,0.10,N/A,1,0.21
0.14,0.23,0.53,0.06,0.21,0.25,0.17,0.30,0.29,0.48,N/A,N/A,0.31,0.18,0.45,0.22,0.76,0.44,0.05,0.19,0.19,0.24,0.26,N/A,0.21,1
