1,0.08,0.02,-0.00,0.07,0.04,0.11,0.11,0.09,0.07,0.07,0.04,0.16,0.01,-0.03
0.08,1,0.10,0.02,0.16,0.36,0.36,0.34,0.10,0.40,0.58,0.38,0.17,0.26,-0.01
0.02,0.10,1,-0.00,0.03,0.14,0.14,0.12,0.04,0.10,0.12,0.02,0.08,0.08,0.04
-0.00,0.02,-0.00,1,0.00,-0.06,0.07,0.04,0.10,0.01,0.01,0.01,0.05,-0.01,0.04
0.07,0.16,0.03,0.00,1,0.04,0.39,0.29,0.06,0.11,0.15,0.08,0.06,0.08,0.05
0.04,0.36,0.14,-0.06,0.04,1,0.25,0.26,0.11,0.17,0.34,0.38,0.10,0.27,0.02
0.11,0.36,0.14,0.07,0.39,0.25,1,0.70,0.23,0.29,0.30,0.27,0.29,0.27,-0.01
0.11,0.34,0.12,0.04,0.29,0.26,0.70,1,0.19,0.25,0.33,0.27,0.24,0.23,0.03
0.09,0.10,0.04,0.10,0.06,0.11,0.23,0.19,1,0.05,0.12,0.01,0.05,0.05,0.01
0.07,0.40,0.10,0.01,0.11,0.17,0.29,0.25,0.05,1,0.41,0.25,0.06,0.36,0.01
0.07,0.58,0.12,0.01,0.15,0.34,0.30,0.33,0.12,0.41,1,0.35,0.11,0.39,0.02
0.04,0.38,0.02,0.01,0.08,0.38,0.27,0.27,0.01,0.25,0.35,1,0.17,0.20,0.03
0.16,0.17,0.08,0.05,0.06,0.10,0.29,0.24,0.05,0.06,0.11,0.17,1,0.11,-0.03
0.01,0.26,0.08,-0.01,0.08,0.27,0.27,0.23,0.05,0.36,0.39,0.20,0.11,1,-0.01
-0.03,-0.01,0.04,0.04,0.05,0.02,-0.01,0.03,0.01,0.01,0.02,0.03,-0.03,-0.01,1
