1,0.69,0.00,0.09,-0.02,0.16,0.01,0.03,0.11,0.04,0.10,0.01,0.03,N/A,0.07,N/A,0.15,N/A,0.08,0.45
0.69,1,0.03,0.15,0.10,0.28,0.03,0.05,0.15,0.06,0.14,-0.00,0.02,N/A,0.14,N/A,0.15,N/A,0.12,0.54
0.00,0.03,1,0.07,0.10,0.10,1.00,0.03,0.03,-0.00,0.04,-0.00,-0.02,N/A,0.09,N/A,-0.04,N/A,0.02,0.03
0.09,0.15,0.07,1,0.10,0.37,0.07,0.05,0.18,0.11,0.24,0.05,0.25,N/A,0.87,N/A,0.12,N/A,0.08,0.15
-0.02,0.10,0.10,0.10,1,0.31,0.10,0.00,0.04,0.02,0.04,-0.00,0.08,N/A,0.13,N/A,0.07,N/A,0.14,0.04
0.16,0.28,0.10,0.37,0.31,1,0.10,0.08,0.30,0.09,0.85,0.02,0.27,N/A,0.42,N/A,0.14,N/A,0.44,0.22
0.01,0.03,1.00,0.07,0.10,0.10,1,0.03,0.03,-0.01,0.04,-0.00,-0.02,N/A,0.09,N/A,-0.04,N/A,0.02,0.03
0.03,0.05,0.03,0.05,0.00,0.08,0.03,1,0.03,-0.02,0.07,-0.01,0.01,N/A,0.05,N/A,0.01,N/A,0.02,0.05
0.11,0.15,0.03,0.18,0.04,0.30,0.03,0.03,1,0.18,0.17,0.01,0.13,N/A,0.20,N/A,0.07,N/A,0.13,0.17
0.04,0.06,-0.00,0.11,0.02,0.09,-0.01,-0.02,0.18,1,-0.00,0.02,0.23,N/A,0.18,N/A,0.03,N/A,0.11,-0.01
0.10,0.14,0.04,0.24,0.04,0.85,0.04,0.07,0.17,-0.00,1,0.01,0.21,N/A,0.27,N/A,0.08,N/A,0.13,0.11
0.01,-0.00,-0.00,0.05,-0.00,0.02,-0.00,-0.01,0.01,0.02,0.01,1,0.01,N/A,0.06,N/A,-0.01,N/A,0.01,-0.02
0.03,0.02,-0.02,0.25,0.08,0.27,-0.02,0.01,0.13,0.23,0.21,0.01,1,N/A,0.51,N/A,0.07,N/A,0.10,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.14,0.09,0.87,0.13,0.42,0.09,0.05,0.20,0.18,0.27,0.06,0.51,N/A,1,N/A,0.12,N/A,0.13,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.15,0.15,-0.04,0.12,0.07,0.14,-0.04,0.01,0.07,0.03,0.08,-0.01,0.07,N/A,0.12,N/A,1,N/A,0.04,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.12,0.02,0.08,0.14,0.44,0.02,0.02,0.13,0.11,0.13,0.01,0.10,N/A,0.13,N/A,0.04,N/A,1,0.10
0.45,0.54,0.03,0.15,0.04,0.22,0.03,0.05,0.17,-0.01,0.11,-0.02,0.00,N/A,0.14,N/A,0.15,N/A,0.10,1
