1,0.58,0.62,0.83,0.84,0.74,0.69,0.28,0.25,0.19,0.64,0.25,0.77,0.20,0.83,0.32,0.15,0.15,0.33,0.53,0.70,0.25,0.08,0.75,0.59,0.10,0.60,0.57,N/A,0.65,0.60,0.58,N/A,0.83,0.73,0.24,0.77,0.63,0.83,0.65,N/A,0.66,0.79,0.58
0.58,1,0.84,0.63,0.60,0.47,0.48,0.24,0.24,0.16,0.49,0.20,0.51,0.10,0.54,0.27,0.18,0.11,0.30,0.41,0.53,0.35,0.06,0.51,0.51,0.19,0.47,0.25,N/A,0.50,0.50,0.61,N/A,0.54,0.57,0.19,0.57,0.46,0.54,0.45,N/A,0.52,0.51,0.55
0.62,0.84,1,0.65,0.62,0.51,0.49,0.21,0.22,0.18,0.52,0.21,0.54,0.11,0.59,0.28,0.16,0.21,0.31,0.43,0.55,0.36,0.06,0.53,0.46,0.15,0.47,0.29,N/A,0.50,0.49,0.51,N/A,0.59,0.58,0.19,0.58,0.47,0.59,0.48,N/A,0.56,0.55,0.45
0.83,0.63,0.65,1,0.90,0.67,0.73,0.24,0.27,0.17,0.65,0.29,0.73,0.19,0.87,0.37,0.20,0.14,0.34,0.53,0.87,0.28,0.11,0.72,0.63,0.11,0.65,0.34,N/A,0.62,0.54,0.56,N/A,0.87,0.85,0.21,0.79,0.67,0.87,0.69,N/A,0.70,0.84,0.78
0.84,0.60,0.62,0.90,1,0.71,0.67,0.29,0.27,0.19,0.63,0.30,0.68,0.19,0.79,0.34,0.20,0.11,0.36,0.50,0.86,0.25,0.10,0.69,0.58,0.13,0.60,0.57,N/A,0.61,0.56,0.54,N/A,0.79,0.85,0.19,0.74,0.67,0.79,0.64,N/A,0.80,0.77,0.76
0.74,0.47,0.51,0.67,0.71,1,0.54,0.24,0.19,0.17,0.49,0.28,0.63,0.23,0.63,0.26,0.15,0.10,0.35,0.78,0.58,0.20,0.15,0.61,0.50,0.05,0.53,0.52,N/A,0.51,0.49,0.45,N/A,0.63,0.62,0.18,0.63,0.64,0.63,0.53,N/A,0.57,0.62,0.44
0.69,0.48,0.49,0.73,0.67,0.54,1,0.19,0.17,0.08,0.50,0.23,0.57,0.23,0.77,0.28,0.15,0.05,0.25,0.39,0.61,0.20,0.10,0.55,0.58,0.09,0.62,0.27,N/A,0.50,0.45,0.44,N/A,0.77,0.68,0.14,0.65,0.54,0.77,0.65,N/A,0.60,0.77,0.49
0.28,0.24,0.21,0.24,0.29,0.24,0.19,1,0.17,0.13,0.16,0.08,0.20,-0.04,0.24,0.20,0.24,-0.02,0.12,0.15,0.28,0.06,0.04,0.18,0.14,0.13,0.15,0.22,N/A,0.21,0.21,0.18,N/A,0.24,0.19,0.10,0.23,0.20,0.24,0.22,N/A,0.22,0.21,0.19
0.25,0.24,0.22,0.27,0.27,0.19,0.17,0.17,1,0.06,0.20,0.13,0.21,0.08,0.25,0.12,0.05,0.04,0.16,0.13,0.22,0.19,0.03,0.21,0.21,0.06,0.18,0.11,N/A,0.24,0.19,0.26,N/A,0.25,0.26,0.10,0.23,0.20,0.25,0.20,N/A,0.18,0.24,0.27
0.19,0.16,0.18,0.17,0.19,0.17,0.08,0.13,0.06,1,0.15,0.06,0.24,0.08,0.18,0.11,0.12,0.11,0.09,0.11,0.21,0.06,-0.03,0.14,0.10,0.12,0.09,0.10,N/A,0.15,0.08,0.13,N/A,0.18,0.14,0.07,0.23,0.14,0.18,0.09,N/A,0.16,0.15,0.14
