1,-0.00,0.00,-0.01,0.01,0.02,-0.01,0.10,0.06,-0.02,N/A,0.07
-0.00,1,0.02,-0.03,0.02,0.02,0.03,-0.02,0.18,0.03,N/A,0.10
0.00,0.02,1,0.10,0.18,0.05,0.03,0.03,0.04,-0.02,N/A,0.06
-0.01,-0.03,0.10,1,0.09,0.05,0.00,0.01,0.05,0.14,N/A,-0.02
0.01,0.02,0.18,0.09,1,0.08,0.17,0.10,0.16,0.02,N/A,0.10
0.02,0.02,0.05,0.05,0.08,1,0.04,0.08,0.08,0.02,N/A,0.06
-0.01,0.03,0.03,0.00,0.17,0.04,1,0.02,0.05,0.02,N/A,0.05
0.10,-0.02,0.03,0.01,0.10,0.08,0.02,1,0.00,-0.12,N/A,0.08
0.06,0.18,0.04,0.05,0.16,0.08,0.05,0.00,1,-0.02,N/A,0.08
-0.02,0.03,-0.02,0.14,0.02,0.02,0.02,-0.12,-0.02,1,N/A,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.10,0.06,-0.02,0.10,0.06,0.05,0.08,0.08,-0.04,N/A,1
