1,0.19,0.27,0.28,0.30,N/A,0.14,0.05,0.16,N/A,0.13,0.13,0.03,0.22,0.10,0.08,0.13,0.13
0.19,1,0.26,0.47,0.26,N/A,0.11,0.19,0.26,N/A,0.24,0.25,0.07,0.34,0.17,0.04,0.03,0.19
0.27,0.26,1,0.43,0.37,N/A,0.14,0.12,0.36,N/A,0.11,0.21,0.10,0.35,0.30,0.10,0.12,0.23
0.28,0.47,0.43,1,0.45,N/A,0.19,0.12,0.34,N/A,0.22,0.30,0.14,0.48,0.52,0.09,0.07,0.30
0.30,0.26,0.37,0.45,1,N/A,0.05,0.09,0.28,N/A,0.08,0.11,0.10,0.32,0.29,0.08,0.02,0.17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.11,0.14,0.19,0.05,N/A,1,0.07,0.13,N/A,0.08,0.39,0.04,0.03,0.06,0.07,-0.01,0.08
0.05,0.19,0.12,0.12,0.09,N/A,0.07,1,0.13,N/A,0.15,0.11,-0.04,0.17,0.06,0.07,-0.02,0.05
0.16,0.26,0.36,0.34,0.28,N/A,0.13,0.13,1,N/A,0.15,0.20,0.03,0.35,0.21,0.06,0.05,0.14
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.13,0.24,0.11,0.22,0.08,N/A,0.08,0.15,0.15,N/A,1,0.27,0.02,0.17,0.03,0.03,0.01,0.15
0.13,0.25,0.21,0.30,0.11,N/A,0.39,0.11,0.20,N/A,0.27,1,0.04,0.16,0.11,0.05,0.01,0.18
0.03,0.07,0.10,0.14,0.10,N/A,0.04,-0.04,0.03,N/A,0.02,0.04,1,0.12,0.10,0.02,0.01,0.11
0.22,0.34,0.35,0.48,0.32,N/A,0.03,0.17,0.35,N/A,0.17,0.16,0.12,1,0.25,0.03,0.02,0.23
0.10,0.17,0.30,0.52,0.29,N/A,0.06,0.06,0.21,N/A,0.03,0.11,0.10,0.25,1,0.13,0.02,0.11
0.08,0.04,0.10,0.09,0.08,N/A,0.07,0.07,0.06,N/A,0.03,0.05,0.02,0.03,0.13,1,-0.01,0.03
0.13,0.03,0.12,0.07,0.02,N/A,-0.01,-0.02,0.05,N/A,0.01,0.01,0.01,0.02,0.02,-0.01,1,0.02
0.13,0.19,0.23,0.30,0.17,N/A,0.08,0.05,0.14,N/A,0.15,0.18,0.11,0.23,0.11,0.03,0.02,1
