1,0.30,0.32,0.40,0.31,0.09,0.24,0.10,0.31,0.99,0.24,0.02,0.32,0.41,0.14,0.32,0.24,0.22,0.03,0.12,0.31,0.11,0.33,0.25,0.28
0.30,1,0.48,0.59,0.39,0.29,0.33,0.23,0.81,0.30,0.21,0.07,0.86,0.77,0.54,0.51,0.71,0.50,0.09,0.24,0.40,0.36,0.82,0.14,0.75
0.32,0.48,1,0.44,0.30,0.16,0.20,0.10,0.42,0.33,0.13,-0.00,0.47,0.59,0.29,0.32,0.36,0.25,0.02,0.32,0.29,0.08,0.51,0.20,0.36
0.40,0.59,0.44,1,0.36,0.24,0.25,0.12,0.55,0.40,0.16,0.13,0.56,0.82,0.33,0.38,0.55,0.35,0.10,0.14,0.33,0.22,0.59,0.14,0.50
0.31,0.39,0.30,0.36,1,0.10,0.40,0.12,0.41,0.31,0.12,0.08,0.40,0.41,0.21,0.36,0.33,0.34,0.15,0.17,0.28,0.13,0.41,0.19,0.32
0.09,0.29,0.16,0.24,0.10,1,0.15,0.03,0.35,0.09,0.05,0.02,0.27,0.23,0.21,0.15,0.27,0.18,0.05,0.08,0.18,0.05,0.30,0.02,0.36
0.24,0.33,0.20,0.25,0.40,0.15,1,0.11,0.30,0.24,0.05,0.05,0.29,0.33,0.20,0.21,0.23,0.16,0.10,0.13,0.17,0.11,0.31,0.20,0.25
0.10,0.23,0.10,0.12,0.12,0.03,0.11,1,0.23,0.11,0.06,0.01,0.25,0.23,0.19,0.15,0.15,0.11,0.23,0.03,0.19,0.19,0.22,0.11,0.22
0.31,0.81,0.42,0.55,0.41,0.35,0.30,0.23,1,0.31,0.23,0.06,0.78,0.71,0.50,0.46,0.72,0.51,0.10,0.21,0.35,0.29,0.76,0.15,0.82
0.99,0.30,0.33,0.40,0.31,0.09,0.24,0.11,0.31,1,0.24,0.00,0.32,0.41,0.14,0.33,0.24,0.23,0.03,0.12,0.32,0.10,0.33,0.25,0.28
0.24,0.21,0.13,0.16,0.12,0.05,0.05,0.06,0.23,0.24,1,0.01,0.20,0.20,0.09,0.11,0.17,0.09,0.04,0.03,0.30,0.05,0.21,0.05,0.22
0.02,0.07,-0.00,0.13,0.08,0.02,0.05,0.01,0.06,0.00,0.01,1,0.05,0.11,0.02,0.03,0.05,0.02,-0.06,0.05,0.00,0.08,0.04,0.03,0.03
0.32,0.86,0.47,0.56,0.40,0.27,0.29,0.25,0.78,0.32,0.20,0.05,1,0.79,0.55,0.47,0.71,0.43,0.10,0.23,0.37,0.33,0.85,0.15,0.72
0.41,0.77,0.59,0.82,0.41,0.23,0.33,0.23,0.71,0.41,0.20,0.11,0.79,1,0.49,0.47,0.67,0.41,0.14,0.27,0.37,0.30,0.80,0.25,0.65
0.14,0.54,0.29,0.33,0.21,0.21,0.20,0.19,0.50,0.14,0.09,0.02,0.55,0.49,1,0.26,0.47,0.28,0.00,0.14,0.28,0.25,0.53,0.08,0.47
0.32,0.51,0.32,0.38,0.36,0.15,0.21,0.15,0.46,0.33,0.11,0.03,0.47,0.47,0.26,1,0.43,0.29,0.12,0.22,0.17,0.25,0.49,0.21,0.39
0.24,0.71,0.36,0.55,0.33,0.27,0.23,0.15,0.72,0.24,0.17,0.05,0.71,0.67,0.47,0.43,1,0.42,0.10,0.13,0.34,0.25,0.72,0.14,0.67
0.22,0.50,0.25,0.35,0.34,0.18,0.16,0.11,0.51,0.23,0.09,0.02,0.43,0.41,0.28,0.29,0.42,1,0.01,0.11,0.27,0.26,0.45,0.08,0.52
0.03,0.09,0.02,0.10,0.15,0.05,0.10,0.23,0.10,0.03,0.04,-0.06,0.10,0.14,0.00,0.12,0.10,0.01,1,0.05,0.09,0.09,0.10,0.09,0.06
0.12,0.24,0.32,0.14,0.17,0.08,0.13,0.03,0.21,0.12,0.03,0.05,0.23,0.27,0.14,0.22,0.13,0.11,0.05,1,0.11,0.06,0.22,0.12,0.15
0.31,0.40,0.29,0.33,0.28,0.18,0.17,0.19,0.35,0.32,0.30,0.00,0.37,0.37,0.28,0.17,0.34,0.27,0.09,0.11,1,0.12,0.38,0.11,0.39
0.11,0.36,0.08,0.22,0.13,0.05,0.11,0.19,0.29,0.10,0.05,0.08,0.33,0.30,0.25,0.25,0.25,0.26,0.09,0.06,0.12,1,0.34,0.14,0.25
0.33,0.82,0.51,0.59,0.41,0.30,0.31,0.22,0.76,0.33,0.21,0.04,0.85,0.80,0.53,0.49,0.72,0.45,0.10,0.22,0.38,0.34,1,0.21,0.69
0.25,0.14,0.20,0.14,0.19,0.02,0.20,0.11,0.15,0.25,0.05,0.03,0.15,0.25,0.08,0.21,0.14,0.08,0.09,0.12,0.11,0.14,0.21,1,0.12
0.28,0.75,0.36,0.50,0.32,0.36,0.25,0.22,0.82,0.28,0.22,0.03,0.72,0.65,0.47,0.39,0.67,0.52,0.06,0.15,0.39,0.25,0.69,0.12,1
