1,0.01,0.23,0.06,0.11,0.18,0.05,0.10,0.10,0.10,0.16,0.04,0.05,N/A,0.19,0.02,N/A,0.17,0.09,0.08,-0.03,0.15,0.18,0.15,0.02
0.01,1,0.28,0.20,0.12,0.21,0.57,0.24,0.23,0.12,0.16,0.12,0.41,N/A,0.15,0.33,N/A,0.03,0.12,0.05,0.04,0.13,0.12,0.49,0.04
0.23,0.28,1,0.28,0.43,0.48,0.27,0.29,0.04,0.37,0.59,0.17,0.17,N/A,0.20,0.25,N/A,0.22,0.36,0.21,0.06,0.28,0.39,0.58,0.28
0.06,0.20,0.28,1,0.16,0.14,0.21,0.10,0.11,0.12,0.17,0.20,0.18,N/A,0.07,0.25,N/A,0.09,0.18,0.06,0.12,0.09,0.06,0.33,0.03
0.11,0.12,0.43,0.16,1,0.25,0.10,0.19,0.04,0.21,0.28,0.08,0.04,N/A,0.04,0.10,N/A,0.11,0.20,0.10,0.03,0.13,0.10,0.26,0.07
0.18,0.21,0.48,0.14,0.25,1,0.23,0.20,0.05,0.17,0.40,0.15,0.11,N/A,0.16,0.17,N/A,0.15,0.25,0.17,-0.01,0.18,0.29,0.36,0.12
0.05,0.57,0.27,0.21,0.10,0.23,1,0.11,0.24,0.10,0.17,0.08,0.57,N/A,0.11,0.34,N/A,0.10,0.12,0.03,0.02,0.07,0.20,0.41,0.06
0.10,0.24,0.29,0.10,0.19,0.20,0.11,1,0.01,0.20,0.23,0.04,0.00,N/A,0.06,0.24,N/A,0.10,0.10,0.11,0.04,0.07,0.13,0.28,0.02
0.10,0.23,0.04,0.11,0.04,0.05,0.24,0.01,1,0.07,0.05,0.06,0.34,N/A,0.21,0.11,N/A,-0.02,-0.01,-0.05,0.01,0.05,0.05,0.12,0.01
0.10,0.12,0.37,0.12,0.21,0.17,0.10,0.20,0.07,1,0.29,0.13,0.06,N/A,0.08,0.24,N/A,0.08,0.20,0.10,0.02,0.08,0.12,0.32,0.05
0.16,0.16,0.59,0.17,0.28,0.40,0.17,0.23,0.05,0.29,1,0.12,0.07,N/A,0.14,0.18,N/A,0.19,0.24,0.33,0.03,0.14,0.55,0.41,0.09
0.04,0.12,0.17,0.20,0.08,0.15,0.08,0.04,0.06,0.13,0.12,1,0.02,N/A,0.10,0.35,N/A,0.08,0.12,0.04,-0.01,0.08,0.09,0.13,0.02
0.05,0.41,0.17,0.18,0.04,0.11,0.57,0.00,0.34,0.06,0.07,0.02,1,N/A,0.13,0.24,N/A,0.03,0.05,-0.05,0.06,0.12,0.04,0.23,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.19,0.15,0.20,0.07,0.04,0.16,0.11,0.06,0.21,0.08,0.14,0.10,0.13,N/A,1,0.11,N/A,0.01,0.08,0.05,0.02,0.07,0.10,0.21,0.04
0.02,0.33,0.25,0.25,0.10,0.17,0.34,0.24,0.11,0.24,0.18,0.35,0.24,N/A,0.11,1,N/A,0.11,0.11,0.02,0.08,0.07,0.08,0.31,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.03,0.22,0.09,0.11,0.15,0.10,0.10,-0.02,0.08,0.19,0.08,0.03,N/A,0.01,0.11,N/A,1,0.12,0.17,0.00,0.12,0.18,0.09,0.19
0.09,0.12,0.36,0.18,0.20,0.25,0.12,0.10,-0.01,0.20,0.24,0.12,0.05,N/A,0.08,0.11,N/A,0.12,1,0.05,-0.01,0.17,0.14,0.23,0.29
0.08,0.05,0.21,0.06,0.10,0.17,0.03,0.11,-0.05,0.10,0.33,0.04,-0.05,N/A,0.05,0.02,N/A,0.17,0.05,1,0.06,0.04,0.17,0.13,0.16
-0.03,0.04,0.06,0.12,0.03,-0.01,0.02,0.04,0.01,0.02,0.03,-0.01,0.06,N/A,0.02,0.08,N/A,0.00,-0.01,0.06,1,0.01,0.04,0.02,0.01
0.15,0.13,0.28,0.09,0.13,0.18,0.07,0.07,0.05,0.08,0.14,0.08,0.12,N/A,0.07,0.07,N/A,0.12,0.17,0.04,0.01,1,0.02,0.22,0.04
0.18,0.12,0.39,0.06,0.10,0.29,0.20,0.13,0.05,0.12,0.55,0.09,0.04,N/A,0.10,0.08,N/A,0.18,0.14,0.17,0.04,0.02,1,0.19,0.16
0.15,0.49,0.58,0.33,0.26,0.36,0.41,0.28,0.12,0.32,0.41,0.13,0.23,N/A,0.21,0.31,N/A,0.09,0.23,0.13,0.02,0.22,0.19,1,0.08
0.02,0.04,0.28,0.03,0.07,0.12,0.06,0.02,0.01,0.05,0.09,0.02,0.01,N/A,0.04,0.05,N/A,0.19,0.29,0.16,0.01,0.04,0.16,0.08,1
