1,0.19,0.13,0.11,0.03,0.08,0.18,0.15,0.36,0.04,0.03,0.19,N/A,0.22,0.26,0.06,0.10,0.30,0.25,0.33,-0.01
0.19,1,0.23,0.14,0.03,0.04,0.12,0.19,0.07,0.08,0.12,0.49,N/A,0.33,0.34,0.06,0.14,0.18,0.26,0.39,0.06
0.13,0.23,1,0.10,0.09,0.09,0.01,0.15,0.16,0.01,0.14,0.30,N/A,0.22,0.07,0.05,0.09,0.21,0.22,0.23,0.17
0.11,0.14,0.10,1,0.03,0.16,0.17,0.20,0.15,-0.04,0.08,0.15,N/A,0.19,0.03,-0.01,0.18,0.13,0.07,0.21,0.02
0.03,0.03,0.09,0.03,1,0.01,-0.02,0.13,0.13,0.01,0.26,0.18,N/A,0.06,0.06,0.05,0.18,0.04,0.04,0.13,-0.03
0.08,0.04,0.09,0.16,0.01,1,0.03,0.07,0.10,0.01,0.07,0.14,N/A,0.23,0.03,-0.02,0.17,0.17,0.07,0.19,-0.01
0.18,0.12,0.01,0.17,-0.02,0.03,1,0.13,0.02,-0.00,0.03,0.13,N/A,0.12,0.06,0.04,0.08,0.18,0.06,0.04,0.00
0.15,0.19,0.15,0.20,0.13,0.07,0.13,1,0.12,0.01,0.08,0.33,N/A,0.18,0.15,0.02,0.07,0.20,0.30,0.21,0.10
0.36,0.07,0.16,0.15,0.13,0.10,0.02,0.12,1,0.05,0.03,0.13,N/A,0.13,0.12,-0.02,0.09,0.06,0.08,0.24,-0.01
0.04,0.08,0.01,-0.04,0.01,0.01,-0.00,0.01,0.05,1,0.07,0.05,N/A,0.03,0.04,0.04,-0.03,-0.00,-0.00,0.03,0.04
0.03,0.12,0.14,0.08,0.26,0.07,0.03,0.08,0.03,0.07,1,0.19,N/A,0.18,0.07,-0.04,0.15,0.04,0.04,0.29,-0.00
0.19,0.49,0.30,0.15,0.18,0.14,0.13,0.33,0.13,0.05,0.19,1,N/A,0.39,0.22,0.04,0.34,0.24,0.25,0.59,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.22,0.33,0.22,0.19,0.06,0.23,0.12,0.18,0.13,0.03,0.18,0.39,N/A,1,0.14,0.00,0.18,0.31,0.20,0.34,0.04
0.26,0.34,0.07,0.03,0.06,0.03,0.06,0.15,0.12,0.04,0.07,0.22,N/A,0.14,1,-0.03,0.13,0.09,0.26,0.21,0.05
0.06,0.06,0.05,-0.01,0.05,-0.02,0.04,0.02,-0.02,0.04,-0.04,0.04,N/A,0.00,-0.03,1,0.01,0.23,0.04,0.06,0.02
0.10,0.14,0.09,0.18,0.18,0.17,0.08,0.07,0.09,-0.03,0.15,0.34,N/A,0.18,0.13,0.01,1,0.12,0.01,0.19,0.04
0.30,0.18,0.21,0.13,0.04,0.17,0.18,0.20,0.06,-0.00,0.04,0.24,N/A,0.31,0.09,0.23,0.12,1,0.08,0.28,0.01
0.25,0.26,0.22,0.07,0.04,0.07,0.06,0.30,0.08,-0.00,0.04,0.25,N/A,0.20,0.26,0.04,0.01,0.08,1,0.26,0.13
0.33,0.39,0.23,0.21,0.13,0.19,0.04,0.21,0.24,0.03,0.29,0.59,N/A,0.34,0.21,0.06,0.19,0.28,0.26,1,0.05
-0.01,0.06,0.17,0.02,-0.03,-0.01,0.00,0.10,-0.01,0.04,-0.00,0.06,N/A,0.04,0.05,0.02,0.04,0.01,0.13,0.05,1
