1,0.29,0.31,0.04,0.11,0.10,0.32,0.15,0.18,0.24,0.03,0.01,0.42,0.31,0.03,0.50,0.37,0.35,0.39,0.09,0.14,N/A,0.40,0.52,0.10,0.10,0.49,0.48,0.19,0.43,0.28,-0.04,0.19,0.33
0.29,1,0.18,0.11,-0.03,0.17,0.24,0.20,0.09,0.06,-0.01,0.27,0.22,0.15,0.01,0.37,0.17,0.19,0.19,0.08,0.16,N/A,0.23,0.22,0.15,0.05,0.28,0.24,0.09,0.39,0.08,0.01,0.11,0.27
0.31,0.18,1,0.20,-0.03,0.22,0.30,0.46,0.12,0.09,0.07,0.20,0.15,0.09,-0.00,0.36,0.23,0.02,0.46,0.16,0.35,N/A,0.19,0.37,0.11,0.14,0.17,0.50,0.21,0.18,0.07,0.27,0.34,0.29
0.04,0.11,0.20,1,0.06,0.43,0.43,0.17,0.22,0.12,0.47,0.20,0.12,0.06,0.09,0.17,0.28,0.14,-0.01,0.21,0.40,N/A,0.12,0.16,0.03,0.24,0.20,0.24,0.07,0.13,0.04,0.17,0.20,0.23
0.11,-0.03,-0.03,0.06,1,0.11,0.06,0.03,0.10,0.06,0.07,-0.10,0.17,0.53,0.05,0.12,0.14,0.12,0.11,0.10,0.11,N/A,0.03,0.06,0.16,0.05,0.14,0.04,0.05,0.19,0.04,-0.02,0.07,-0.03
0.10,0.17,0.22,0.43,0.11,1,0.33,0.11,0.25,0.20,0.08,0.20,0.17,0.20,0.08,0.29,0.29,-0.04,0.08,0.44,0.34,N/A,0.07,0.20,0.04,0.28,0.23,0.19,0.19,0.22,-0.00,0.22,0.39,0.28
0.32,0.24,0.30,0.43,0.06,0.33,1,0.26,0.33,0.12,0.19,0.44,0.40,0.18,0.16,0.35,0.35,0.19,0.19,0.22,0.28,N/A,0.14,0.30,0.20,0.27,0.32,0.30,0.19,0.30,0.09,0.11,0.20,0.34
0.15,0.20,0.46,0.17,0.03,0.11,0.26,1,0.33,-0.02,0.08,0.30,0.07,0.06,0.13,0.24,0.32,-0.03,0.24,-0.01,0.16,N/A,0.11,0.17,0.16,0.06,0.34,0.23,0.16,0.20,0.20,0.17,0.15,0.27
0.18,0.09,0.12,0.22,0.10,0.25,0.33,0.33,1,0.05,0.14,0.20,0.09,0.08,0.04,0.12,0.51,-0.03,0.22,0.15,0.10,N/A,0.06,0.09,0.08,0.11,0.18,0.14,0.14,0.43,0.05,0.08,0.10,0.26
0.24,0.06,0.09,0.12,0.06,0.20,0.12,-0.02,0.05,1,0.06,-0.11,0.21,0.02,0.04,0.47,0.14,0.18,0.22,0.26,0.41,N/A,0.33,0.59,0.10,0.19,0.39,0.20,0.32,0.19,0.05,0.10,0.19,0.33
0.03,-0.01,0.07,0.47,0.07,0.08,0.19,0.08,0.14,0.06,1,0.01,0.10,0.10,0.08,0.05,0.32,0.10,0.09,0.01,0.28,N/A,-0.02,0.10,0.17,0.10,0.08,0.09,0.16,0.10,0.00,0.24,0.01,0.04
0.01,0.27,0.20,0.20,-0.10,0.20,0.44,0.30,0.20,-0.11,0.01,1,0.02,-0.12,0.03,0.18,0.06,0.11,0.08,-0.09,-0.03,N/A,0.03,0.05,0.15,0.07,0.09,0.06,-0.04,0.24,0.05,0.03,0.16,0.25
0.42,0.22,0.15,0.12,0.17,0.17,0.40,0.07,0.09,0.21,0.10,0.02,1,0.36,0.07,0.27,0.12,0.27,0.29,0.23,0.27,N/A,0.41,0.46,0.07,0.18,0.33,0.20,0.19,0.35,0.27,-0.05,0.09,0.20
0.31,0.15,0.09,0.06,0.53,0.20,0.18,0.06,0.08,0.02,0.10,-0.12,0.36,1,0.07,0.30,0.31,0.09,0.29,0.14,0.07,N/A,0.10,0.13,0.20,0.02,0.28,0.15,0.04,0.36,0.09,0.02,0.16,0.03
0.03,0.01,-0.00,0.09,0.05,0.08,0.16,0.13,0.04,0.04,0.08,0.03,0.07,0.07,1,0.06,-0.01,-0.02,-0.02,-0.01,0.06,N/A,0.11,0.05,0.13,-0.02,0.16,0.01,0.09,0.03,0.01,-0.02,0.02,0.05
0.50,0.37,0.36,0.17,0.12,0.29,0.35,0.24,0.12,0.47,0.05,0.18,0.27,0.30,0.06,1,0.38,0.34,0.55,0.10,0.29,N/A,0.38,0.62,0.13,0.22,0.48,0.29,0.10,0.52,0.09,0.05,0.36,0.48
0.37,0.17,0.23,0.28,0.14,0.29,0.35,0.32,0.51,0.14,0.32,0.06,0.12,0.31,-0.01,0.38,1,0.08,0.24,0.31,0.18,N/A,0.17,0.23,0.21,0.21,0.40,0.37,0.25,0.42,-0.01,0.15,0.22,0.31
0.35,0.19,0.02,0.14,0.12,-0.04,0.19,-0.03,-0.03,0.18,0.10,0.11,0.27,0.09,-0.02,0.34,0.08,1,0.17,0.08,0.22,N/A,0.29,0.40,0.15,0.13,0.32,0.07,-0.00,0.30,0.29,0.07,0.19,0.18
0.39,0.19,0.46,-0.01,0.11,0.08,0.19,0.24,0.22,0.22,0.09,0.08,0.29,0.29,-0.02,0.55,0.24,0.17,1,0.04,0.14,N/A,0.35,0.53,0.06,0.05,0.22,0.21,0.07,0.50,0.12,0.06,0.24,0.15
0.09,0.08,0.16,0.21,0.10,0.44,0.22,-0.01,0.15,0.26,0.01,-0.09,0.23,0.14,-0.01,0.10,0.31,0.08,0.04,1,0.28,N/A,0.17,0.32,0.10,0.28,0.17,0.28,0.13,0.19,0.10,0.19,0.21,0.16
0.14,0.16,0.35,0.40,0.11,0.34,0.28,0.16,0.10,0.41,0.28,-0.03,0.27,0.07,0.06,0.29,0.18,0.22,0.14,0.28,1,N/A,0.18,0.34,0.04,0.24,0.27,0.39,0.39,0.16,0.08,0.25,0.47,0.29
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.40,0.23,0.19,0.12,0.03,0.07,0.14,0.11,0.06,0.33,-0.02,0.03,0.41,0.10,0.11,0.38,0.17,0.29,0.35,0.17,0.18,N/A,1,0.44,0.40,0.18,0.33,0.18,0.07,0.39,0.22,-0.10,0.10,0.18
0.52,0.22,0.37,0.16,0.06,0.20,0.30,0.17,0.09,0.59,0.10,0.05,0.46,0.13,0.05,0.62,0.23,0.40,0.53,0.32,0.34,N/A,0.44,1,0.16,0.39,0.47,0.35,0.25,0.40,0.09,0.11,0.31,0.32
0.10,0.15,0.11,0.03,0.16,0.04,0.20,0.16,0.08,0.10,0.17,0.15,0.07,0.20,0.13,0.13,0.21,0.15,0.06,0.10,0.04,N/A,0.40,0.16,1,0.03,0.28,0.15,0.10,0.20,0.06,0.15,-0.01,0.11
0.10,0.05,0.14,0.24,0.05,0.28,0.27,0.06,0.11,0.19,0.10,0.07,0.18,0.02,-0.02,0.22,0.21,0.13,0.05,0.28,0.24,N/A,0.18,0.39,0.03,1,0.19,0.17,0.24,0.22,0.05,0.12,0.13,0.11
0.49,0.28,0.17,0.20,0.14,0.23,0.32,0.34,0.18,0.39,0.08,0.09,0.33,0.28,0.16,0.48,0.40,0.32,0.22,0.17,0.27,N/A,0.33,0.47,0.28,0.19,1,0.35,0.16,0.42,0.18,0.03,0.18,0.16
0.48,0.24,0.50,0.24,0.04,0.19,0.30,0.23,0.14,0.20,0.09,0.06,0.20,0.15,0.01,0.29,0.37,0.07,0.21,0.28,0.39,N/A,0.18,0.35,0.15,0.17,0.35,1,0.37,0.29,0.06,0.31,0.32,0.21
0.19,0.09,0.21,0.07,0.05,0.19,0.19,0.16,0.14,0.32,0.16,-0.04,0.19,0.04,0.09,0.10,0.25,-0.00,0.07,0.13,0.39,N/A,0.07,0.25,0.10,0.24,0.16,0.37,1,0.13,0.03,0.19,0.04,0.03
0.43,0.39,0.18,0.13,0.19,0.22,0.30,0.20,0.43,0.19,0.10,0.24,0.35,0.36,0.03,0.52,0.42,0.30,0.50,0.19,0.16,N/A,0.39,0.40,0.20,0.22,0.42,0.29,0.13,1,0.16,0.10,0.18,0.13
0.28,0.08,0.07,0.04,0.04,-0.00,0.09,0.20,0.05,0.05,0.00,0.05,0.27,0.09,0.01,0.09,-0.01,0.29,0.12,0.10,0.08,N/A,0.22,0.09,0.06,0.05,0.18,0.06,0.03,0.16,1,-0.08,0.10,0.16
-0.04,0.01,0.27,0.17,-0.02,0.22,0.11,0.17,0.08,0.10,0.24,0.03,-0.05,0.02,-0.02,0.05,0.15,0.07,0.06,0.19,0.25,N/A,-0.10,0.11,0.15,0.12,0.03,0.31,0.19,0.10,-0.08,1,0.10,0.12
0.19,0.11,0.34,0.20,0.07,0.39,0.20,0.15,0.10,0.19,0.01,0.16,0.09,0.16,0.02,0.36,0.22,0.19,0.24,0.21,0.47,N/A,0.10,0.31,-0.01,0.13,0.18,0.32,0.04,0.18,0.10,0.10,1,0.23
0.33,0.27,0.29,0.23,-0.03,0.28,0.34,0.27,0.26,0.33,0.04,0.25,0.20,0.03,0.05,0.48,0.31,0.18,0.15,0.16,0.29,N/A,0.18,0.32,0.11,0.11,0.16,0.21,0.03,0.13,0.16,0.12,0.23,1
