N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.46,0.32,0.10,0.02,0.21,0.10,0.13,0.21,0.24,0.39,N/A,0.20,0.16,0.13,0.25,0.27,0.03,N/A,0.33,0.13,0.14,0.17,0.07,0.03,0.34
N/A,0.46,1,0.44,0.19,0.07,0.42,0.17,0.18,0.35,0.15,0.47,N/A,0.18,0.19,0.06,0.37,0.39,0.05,N/A,0.38,0.08,0.34,0.17,0.16,0.11,0.39
N/A,0.32,0.44,1,0.21,0.12,0.47,0.16,0.33,0.24,0.27,0.25,N/A,0.28,0.21,0.13,0.33,0.55,0.07,N/A,0.38,0.03,0.34,0.08,0.19,0.08,0.35
N/A,0.10,0.19,0.21,1,0.02,0.08,-0.02,0.05,0.14,0.09,0.15,N/A,0.16,0.07,0.12,0.19,0.17,-0.12,N/A,-0.04,-0.12,0.02,0.14,0.08,-0.01,0.14
N/A,0.02,0.07,0.12,0.02,1,0.13,-0.01,0.14,0.09,0.52,0.06,N/A,0.06,-0.09,0.07,0.27,0.12,0.09,N/A,0.20,0.07,0.16,-0.04,0.20,0.04,0.20
N/A,0.21,0.42,0.47,0.08,0.13,1,0.18,0.23,0.15,0.24,0.15,N/A,0.27,0.23,0.08,0.48,0.25,0.14,N/A,0.36,0.48,0.42,-0.05,0.28,0.10,0.35
N/A,0.10,0.17,0.16,-0.02,-0.01,0.18,1,0.15,0.21,0.06,0.21,N/A,0.18,0.11,0.07,0.24,0.08,0.30,N/A,0.24,0.11,0.29,0.08,0.14,0.05,0.30
N/A,0.13,0.18,0.33,0.05,0.14,0.23,0.15,1,0.10,0.15,0.02,N/A,0.08,0.00,0.01,0.38,0.14,0.06,N/A,0.13,-0.01,0.15,0.01,0.03,-0.01,0.60
N/A,0.21,0.35,0.24,0.14,0.09,0.15,0.21,0.10,1,0.13,0.06,N/A,0.23,0.41,0.09,0.26,0.05,-0.00,N/A,0.09,0.02,0.13,0.23,0.05,0.06,0.19
N/A,0.24,0.15,0.27,0.09,0.52,0.24,0.06,0.15,0.13,1,0.20,N/A,0.25,0.14,0.04,0.35,0.16,0.06,N/A,0.18,0.03,0.25,0.03,0.37,-0.07,0.29
N/A,0.39,0.47,0.25,0.15,0.06,0.15,0.21,0.02,0.06,0.20,1,N/A,0.17,0.13,0.06,0.16,0.38,0.02,N/A,0.23,0.02,0.20,0.16,0.21,0.14,0.26
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.20,0.18,0.28,0.16,0.06,0.27,0.18,0.08,0.23,0.25,0.17,N/A,1,0.00,0.01,0.41,0.11,-0.04,N/A,0.15,0.09,0.41,0.15,0.39,0.08,0.15
N/A,0.16,0.19,0.21,0.07,-0.09,0.23,0.11,0.00,0.41,0.14,0.13,N/A,0.00,1,0.08,0.27,0.01,-0.02,N/A,0.03,0.23,0.11,0.18,0.15,-0.04,0.06
N/A,0.13,0.06,0.13,0.12,0.07,0.08,0.07,0.01,0.09,0.04,0.06,N/A,0.01,0.08,1,0.04,0.01,-0.00,N/A,0.33,-0.02,0.04,-0.09,0.02,-0.13,0.04
N/A,0.25,0.37,0.33,0.19,0.27,0.48,0.24,0.38,0.26,0.35,0.16,N/A,0.41,0.27,0.04,1,0.17,0.08,N/A,0.25,0.25,0.56,0.06,0.34,-0.03,0.54
N/A,0.27,0.39,0.55,0.17,0.12,0.25,0.08,0.14,0.05,0.16,0.38,N/A,0.11,0.01,0.01,0.17,1,0.06,N/A,0.30,0.02,0.16,0.29,0.17,0.13,0.29
N/A,0.03,0.05,0.07,-0.12,0.09,0.14,0.30,0.06,-0.00,0.06,0.02,N/A,-0.04,-0.02,-0.00,0.08,0.06,1,N/A,0.10,0.17,-0.02,-0.10,-0.03,-0.19,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.33,0.38,0.38,-0.04,0.20,0.36,0.24,0.13,0.09,0.18,0.23,N/A,0.15,0.03,0.33,0.25,0.30,0.10,N/A,1,0.23,0.26,0.03,0.16,0.03,0.24
N/A,0.13,0.08,0.03,-0.12,0.07,0.48,0.11,-0.01,0.02,0.03,0.02,N/A,0.09,0.23,-0.02,0.25,0.02,0.17,N/A,0.23,1,0.19,-0.08,0.09,-0.15,0.04
N/A,0.14,0.34,0.34,0.02,0.16,0.42,0.29,0.15,0.13,0.25,0.20,N/A,0.41,0.11,0.04,0.56,0.16,-0.02,N/A,0.26,0.19,1,0.06,0.49,0.09,0.22
N/A,0.17,0.17,0.08,0.14,-0.04,-0.05,0.08,0.01,0.23,0.03,0.16,N/A,0.15,0.18,-0.09,0.06,0.29,-0.10,N/A,0.03,-0.08,0.06,1,0.07,0.19,0.07
N/A,0.07,0.16,0.19,0.08,0.20,0.28,0.14,0.03,0.05,0.37,0.21,N/A,0.39,0.15,0.02,0.34,0.17,-0.03,N/A,0.16,0.09,0.49,0.07,1,0.22,0.08
N/A,0.03,0.11,0.08,-0.01,0.04,0.10,0.05,-0.01,0.06,-0.07,0.14,N/A,0.08,-0.04,-0.13,-0.03,0.13,-0.19,N/A,0.03,-0.15,0.09,0.19,0.22,1,0.12
N/A,0.34,0.39,0.35,0.14,0.20,0.35,0.30,0.60,0.19,0.29,0.26,N/A,0.15,0.06,0.04,0.54,0.29,0.05,N/A,0.24,0.04,0.22,0.07,0.08,0.12,1
