1,0.93,0.07,0.11,0.04,-0.05,N/A,N/A,N/A,0.02,-0.09,N/A,0.06,0.09,N/A,0.04,0.02,-0.02,0.00,0.70,0.01,0.04
0.93,1,0.14,0.25,0.17,0.02,N/A,N/A,N/A,0.06,0.04,N/A,0.07,0.17,N/A,0.17,0.07,0.08,0.09,0.73,0.03,0.07
0.07,0.14,1,0.36,0.41,0.39,N/A,N/A,N/A,0.10,0.21,N/A,0.04,0.15,N/A,0.30,0.22,0.33,0.20,0.22,0.26,0.16
0.11,0.25,0.36,1,0.44,0.34,N/A,N/A,N/A,0.17,0.18,N/A,0.06,0.31,N/A,0.39,0.29,0.38,0.20,0.34,0.06,-0.04
0.04,0.17,0.41,0.44,1,0.49,N/A,N/A,N/A,0.16,0.10,N/A,0.20,0.30,N/A,0.40,0.34,0.27,0.33,0.39,0.09,0.19
-0.05,0.02,0.39,0.34,0.49,1,N/A,N/A,N/A,0.09,0.15,N/A,0.07,0.38,N/A,0.38,0.33,0.29,0.33,0.28,0.34,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.06,0.10,0.17,0.16,0.09,N/A,N/A,N/A,1,0.24,N/A,0.06,0.32,N/A,0.29,0.35,0.16,0.20,0.13,0.07,0.18
-0.09,0.04,0.21,0.18,0.10,0.15,N/A,N/A,N/A,0.24,1,N/A,0.04,0.07,N/A,0.17,0.28,0.13,0.15,0.08,-0.06,-0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.07,0.04,0.06,0.20,0.07,N/A,N/A,N/A,0.06,0.04,N/A,1,0.03,N/A,0.14,0.02,-0.05,0.18,0.16,-0.04,0.00
0.09,0.17,0.15,0.31,0.30,0.38,N/A,N/A,N/A,0.32,0.07,N/A,0.03,1,N/A,0.40,0.35,0.36,0.24,0.24,0.24,-0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.17,0.30,0.39,0.40,0.38,N/A,N/A,N/A,0.29,0.17,N/A,0.14,0.40,N/A,1,0.39,0.17,0.22,0.26,0.13,0.04
0.02,0.07,0.22,0.29,0.34,0.33,N/A,N/A,N/A,0.35,0.28,N/A,0.02,0.35,N/A,0.39,1,0.32,0.28,0.16,0.06,0.10
-0.02,0.08,0.33,0.38,0.27,0.29,N/A,N/A,N/A,0.16,0.13,N/A,-0.05,0.36,N/A,0.17,0.32,1,0.18,0.08,0.12,-0.17
0.00,0.09,0.20,0.20,0.33,0.33,N/A,N/A,N/A,0.20,0.15,N/A,0.18,0.24,N/A,0.22,0.28,0.18,1,0.20,0.27,0.10
0.70,0.73,0.22,0.34,0.39,0.28,N/A,N/A,N/A,0.13,0.08,N/A,0.16,0.24,N/A,0.26,0.16,0.08,0.20,1,0.07,0.03
0.01,0.03,0.26,0.06,0.09,0.34,N/A,N/A,N/A,0.07,-0.06,N/A,-0.04,0.24,N/A,0.13,0.06,0.12,0.27,0.07,1,0.13
0.04,0.07,0.16,-0.04,0.19,0.06,N/A,N/A,N/A,0.18,-0.04,N/A,0.00,-0.03,N/A,0.04,0.10,-0.17,0.10,0.03,0.13,1
