1,0.43,0.10,0.51,N/A,-0.08,N/A,N/A,0.47,0.08,-0.05,N/A,N/A,N/A,0.11,N/A,N/A,0.09,0.39,0.19,0.03,0.13,0.09,0.27,0.32
0.43,1,-0.12,0.44,N/A,-0.03,N/A,N/A,0.24,0.07,-0.06,N/A,N/A,N/A,0.06,N/A,N/A,0.23,0.32,0.38,0.21,0.29,0.14,0.06,0.34
0.10,-0.12,1,0.07,N/A,0.05,N/A,N/A,-0.03,0.14,-0.01,N/A,N/A,N/A,0.03,N/A,N/A,0.01,0.09,0.04,0.36,0.01,0.21,-0.04,0.03
0.51,0.44,0.07,1,N/A,0.03,N/A,N/A,0.49,0.09,-0.04,N/A,N/A,N/A,0.20,N/A,N/A,0.19,0.36,0.27,0.12,0.28,0.16,0.21,0.39
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.08,-0.03,0.05,0.03,N/A,1,N/A,N/A,0.06,-0.08,0.03,N/A,N/A,N/A,0.03,N/A,N/A,0.19,0.13,-0.11,0.09,0.10,0.09,-0.01,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.47,0.24,-0.03,0.49,N/A,0.06,N/A,N/A,1,0.02,-0.05,N/A,N/A,N/A,0.09,N/A,N/A,0.02,0.41,0.15,0.07,0.12,0.22,0.30,0.31
0.08,0.07,0.14,0.09,N/A,-0.08,N/A,N/A,0.02,1,0.07,N/A,N/A,N/A,0.10,N/A,N/A,-0.01,0.04,0.02,-0.01,0.05,0.55,-0.06,0.01
-0.05,-0.06,-0.01,-0.04,N/A,0.03,N/A,N/A,-0.05,0.07,1,N/A,N/A,N/A,-0.10,N/A,N/A,-0.04,-0.01,-0.07,0.05,0.08,0.00,-0.01,0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.06,0.03,0.20,N/A,0.03,N/A,N/A,0.09,0.10,-0.10,N/A,N/A,N/A,1,N/A,N/A,0.03,0.09,-0.05,-0.06,0.04,-0.06,-0.03,0.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.09,0.23,0.01,0.19,N/A,0.19,N/A,N/A,0.02,-0.01,-0.04,N/A,N/A,N/A,0.03,N/A,N/A,1,0.07,0.16,0.07,0.00,0.15,0.15,0.06
0.39,0.32,0.09,0.36,N/A,0.13,N/A,N/A,0.41,0.04,-0.01,N/A,N/A,N/A,0.09,N/A,N/A,0.07,1,0.10,0.04,0.10,0.13,0.13,0.28
0.19,0.38,0.04,0.27,N/A,-0.11,N/A,N/A,0.15,0.02,-0.07,N/A,N/A,N/A,-0.05,N/A,N/A,0.16,0.10,1,0.17,0.32,0.22,0.05,0.08
0.03,0.21,0.36,0.12,N/A,0.09,N/A,N/A,0.07,-0.01,0.05,N/A,N/A,N/A,-0.06,N/A,N/A,0.07,0.04,0.17,1,0.14,0.18,0.17,0.02
0.13,0.29,0.01,0.28,N/A,0.10,N/A,N/A,0.12,0.05,0.08,N/A,N/A,N/A,0.04,N/A,N/A,0.00,0.10,0.32,0.14,1,0.09,-0.00,0.09
0.09,0.14,0.21,0.16,N/A,0.09,N/A,N/A,0.22,0.55,0.00,N/A,N/A,N/A,-0.06,N/A,N/A,0.15,0.13,0.22,0.18,0.09,1,0.28,0.08
0.27,0.06,-0.04,0.21,N/A,-0.01,N/A,N/A,0.30,-0.06,-0.01,N/A,N/A,N/A,-0.03,N/A,N/A,0.15,0.13,0.05,0.17,-0.00,0.28,1,0.22
0.32,0.34,0.03,0.39,N/A,0.01,N/A,N/A,0.31,0.01,0.00,N/A,N/A,N/A,0.16,N/A,N/A,0.06,0.28,0.08,0.02,0.09,0.08,0.22,1
