1,0.06,0.05,0.19,0.03,0.11,0.24,0.20,0.12,0.17,0.25,0.07,0.15,0.24,0.50,0.26,0.36,0.09,0.23,0.29,0.21,0.24,0.31
0.06,1,0.13,0.33,0.18,0.10,0.46,0.13,0.16,0.12,0.13,0.30,0.10,0.14,0.12,0.15,0.40,0.11,0.01,0.22,0.11,0.21,0.31
0.05,0.13,1,0.19,-0.10,0.13,0.05,-0.06,0.22,-0.05,0.10,-0.03,0.04,0.08,0.16,0.14,0.18,0.04,-0.02,0.17,0.04,0.00,0.03
0.19,0.33,0.19,1,0.06,0.03,0.38,0.14,0.23,0.45,0.25,0.22,0.15,0.28,0.12,0.31,0.48,0.17,0.20,0.48,0.32,0.22,0.34
0.03,0.18,-0.10,0.06,1,0.20,0.34,0.30,-0.03,0.20,0.05,0.07,0.08,0.24,0.05,0.14,0.18,0.04,0.07,0.05,0.09,0.08,0.13
0.11,0.10,0.13,0.03,0.20,1,0.20,0.38,0.15,0.11,0.29,-0.00,0.09,0.09,0.05,0.17,0.30,0.19,0.07,0.18,0.32,-0.00,0.09
0.24,0.46,0.05,0.38,0.34,0.20,1,0.13,0.25,0.35,0.37,0.32,0.25,0.32,0.34,0.17,0.73,0.32,0.15,0.48,0.20,0.36,0.52
0.20,0.13,-0.06,0.14,0.30,0.38,0.13,1,0.08,0.20,0.23,0.02,0.13,0.13,0.01,0.12,0.25,0.11,0.05,0.10,0.12,0.09,0.20
0.12,0.16,0.22,0.23,-0.03,0.15,0.25,0.08,1,0.09,0.09,0.21,0.01,0.05,0.17,0.06,0.28,0.06,0.21,0.14,0.11,0.05,0.26
0.17,0.12,-0.05,0.45,0.20,0.11,0.35,0.20,0.09,1,0.25,0.08,0.27,0.43,0.07,0.31,0.38,0.14,0.21,0.31,0.23,0.18,0.23
0.25,0.13,0.10,0.25,0.05,0.29,0.37,0.23,0.09,0.25,1,0.10,0.36,0.30,0.08,0.34,0.54,0.43,0.10,0.38,0.22,0.18,0.34
0.07,0.30,-0.03,0.22,0.07,-0.00,0.32,0.02,0.21,0.08,0.10,1,0.09,0.22,0.15,0.18,0.30,0.04,0.01,0.24,-0.06,0.13,0.23
0.15,0.10,0.04,0.15,0.08,0.09,0.25,0.13,0.01,0.27,0.36,0.09,1,0.54,0.10,0.43,0.32,0.14,0.04,0.17,0.13,0.14,0.26
0.24,0.14,0.08,0.28,0.24,0.09,0.32,0.13,0.05,0.43,0.30,0.22,0.54,1,0.20,0.59,0.29,0.04,0.05,0.18,0.15,0.13,0.34
0.50,0.12,0.16,0.12,0.05,0.05,0.34,0.01,0.17,0.07,0.08,0.15,0.10,0.20,1,0.03,0.35,0.14,0.03,0.29,0.12,0.26,0.20
0.26,0.15,0.14,0.31,0.14,0.17,0.17,0.12,0.06,0.31,0.34,0.18,0.43,0.59,0.03,1,0.37,-0.00,0.10,0.13,0.32,0.10,0.35
0.36,0.40,0.18,0.48,0.18,0.30,0.73,0.25,0.28,0.38,0.54,0.30,0.32,0.29,0.35,0.37,1,0.45,0.32,0.58,0.36,0.51,0.58
0.09,0.11,0.04,0.17,0.04,0.19,0.32,0.11,0.06,0.14,0.43,0.04,0.14,0.04,0.14,-0.00,0.45,1,0.01,0.25,0.20,0.22,0.15
0.23,0.01,-0.02,0.20,0.07,0.07,0.15,0.05,0.21,0.21,0.10,0.01,0.04,0.05,0.03,0.10,0.32,0.01,1,0.22,0.19,0.15,0.14
0.29,0.22,0.17,0.48,0.05,0.18,0.48,0.10,0.14,0.31,0.38,0.24,0.17,0.18,0.29,0.13,0.58,0.25,0.22,1,0.20,0.24,0.31
0.21,0.11,0.04,0.32,0.09,0.32,0.20,0.12,0.11,0.23,0.22,-0.06,0.13,0.15,0.12,0.32,0.36,0.20,0.19,0.20,1,0.08,0.19
0.24,0.21,0.00,0.22,0.08,-0.00,0.36,0.09,0.05,0.18,0.18,0.13,0.14,0.13,0.26,0.10,0.51,0.22,0.15,0.24,0.08,1,0.45
0.31,0.31,0.03,0.34,0.13,0.09,0.52,0.20,0.26,0.23,0.34,0.23,0.26,0.34,0.20,0.35,0.58,0.15,0.14,0.31,0.19,0.45,1
