1,0.41,0.22,0.12,0.11,0.14,0.15,0.17,0.12,0.12,0.24,0.47,-0.05,0.38,0.16,0.13,0.31,0.01,0.23,0.10,0.16,0.31,0.32,0.17,0.07
0.41,1,0.38,0.16,0.09,0.27,0.11,0.13,0.25,0.42,0.27,0.16,-0.03,0.60,0.21,-0.01,0.19,0.08,0.06,0.31,0.08,0.19,0.39,0.04,-0.05
0.22,0.38,1,-0.07,0.20,0.32,0.11,0.24,0.08,0.25,0.46,0.28,0.11,0.50,0.42,0.05,0.21,0.07,0.13,0.27,0.15,0.16,0.23,0.08,-0.01
0.12,0.16,-0.07,1,0.01,0.29,0.01,0.03,0.02,0.15,0.01,0.17,0.04,-0.03,0.27,0.30,0.10,0.08,0.52,0.13,-0.02,0.22,0.26,0.08,-0.09
0.11,0.09,0.20,0.01,1,0.01,0.25,0.02,0.12,0.30,0.16,0.05,0.10,0.09,0.12,0.13,0.25,0.01,0.09,0.01,0.00,0.11,0.04,0.09,-0.02
0.14,0.27,0.32,0.29,0.01,1,-0.03,0.06,0.26,0.25,0.19,0.30,0.02,0.36,0.36,0.33,0.10,0.04,0.41,0.28,0.01,0.06,0.44,0.06,-0.06
0.15,0.11,0.11,0.01,0.25,-0.03,1,-0.10,0.27,0.10,0.16,0.06,-0.01,0.07,0.03,-0.01,0.02,0.10,-0.05,0.13,0.18,0.41,0.12,0.06,0.21
0.17,0.13,0.24,0.03,0.02,0.06,-0.10,1,0.09,0.08,0.31,0.20,-0.06,0.23,0.24,0.01,-0.03,0.01,0.04,0.01,0.14,0.09,0.06,0.01,-0.14
0.12,0.25,0.08,0.02,0.12,0.26,0.27,0.09,1,0.25,0.14,0.12,-0.08,0.26,0.10,0.12,-0.01,-0.06,0.13,0.28,-0.08,0.15,0.06,0.04,0.29
0.12,0.42,0.25,0.15,0.30,0.25,0.10,0.08,0.25,1,0.18,0.09,-0.01,0.54,0.15,-0.03,0.39,0.03,0.13,0.39,-0.08,0.02,0.31,0.01,-0.09
0.24,0.27,0.46,0.01,0.16,0.19,0.16,0.31,0.14,0.18,1,0.12,0.16,0.34,0.29,0.05,0.14,0.00,0.26,0.10,-0.01,0.23,0.25,0.36,0.05
0.47,0.16,0.28,0.17,0.05,0.30,0.06,0.20,0.12,0.09,0.12,1,0.03,0.33,0.39,0.27,0.04,-0.01,0.41,0.01,0.02,0.21,0.24,0.12,0.14
-0.05,-0.03,0.11,0.04,0.10,0.02,-0.01,-0.06,-0.08,-0.01,0.16,0.03,1,0.04,-0.02,0.09,0.08,-0.01,0.02,-0.10,-0.03,0.08,-0.05,0.13,0.01
0.38,0.60,0.50,-0.03,0.09,0.36,0.07,0.23,0.26,0.54,0.34,0.33,0.04,1,0.31,0.10,0.30,0.02,0.13,0.21,0.07,0.18,0.36,0.02,0.09
0.16,0.21,0.42,0.27,0.12,0.36,0.03,0.24,0.10,0.15,0.29,0.39,-0.02,0.31,1,0.20,0.02,-0.04,0.41,0.11,0.03,0.19,0.20,0.07,0.06
0.13,-0.01,0.05,0.30,0.13,0.33,-0.01,0.01,0.12,-0.03,0.05,0.27,0.09,0.10,0.20,1,0.17,-0.03,0.37,0.02,-0.04,0.25,0.12,-0.02,0.02
0.31,0.19,0.21,0.10,0.25,0.10,0.02,-0.03,-0.01,0.39,0.14,0.04,0.08,0.30,0.02,0.17,1,0.08,0.09,0.18,0.18,0.13,0.18,0.12,0.01
0.01,0.08,0.07,0.08,0.01,0.04,0.10,0.01,-0.06,0.03,0.00,-0.01,-0.01,0.02,-0.04,-0.03,0.08,1,0.01,0.04,-0.04,0.13,0.10,-0.04,-0.05
0.23,0.06,0.13,0.52,0.09,0.41,-0.05,0.04,0.13,0.13,0.26,0.41,0.02,0.13,0.41,0.37,0.09,0.01,1,0.02,-0.10,0.16,0.36,0.20,0.08
0.10,0.31,0.27,0.13,0.01,0.28,0.13,0.01,0.28,0.39,0.10,0.01,-0.10,0.21,0.11,0.02,0.18,0.04,0.02,1,-0.02,0.11,0.17,-0.01,0.01
0.16,0.08,0.15,-0.02,0.00,0.01,0.18,0.14,-0.08,-0.08,-0.01,0.02,-0.03,0.07,0.03,-0.04,0.18,-0.04,-0.10,-0.02,1,0.16,0.03,0.07,0.06
0.31,0.19,0.16,0.22,0.11,0.06,0.41,0.09,0.15,0.02,0.23,0.21,0.08,0.18,0.19,0.25,0.13,0.13,0.16,0.11,0.16,1,0.02,0.07,0.19
0.32,0.39,0.23,0.26,0.04,0.44,0.12,0.06,0.06,0.31,0.25,0.24,-0.05,0.36,0.20,0.12,0.18,0.10,0.36,0.17,0.03,0.02,1,0.12,0.02
0.17,0.04,0.08,0.08,0.09,0.06,0.06,0.01,0.04,0.01,0.36,0.12,0.13,0.02,0.07,-0.02,0.12,-0.04,0.20,-0.01,0.07,0.07,0.12,1,0.16
0.07,-0.05,-0.01,-0.09,-0.02,-0.06,0.21,-0.14,0.29,-0.09,0.05,0.14,0.01,0.09,0.06,0.02,0.01,-0.05,0.08,0.01,0.06,0.19,0.02,0.16,1
