1,0.01,0.19,0.25,0.11,0.83,0.17,0.11,0.05,-0.01,0.05,0.05,-0.02,0.08,0.07,0.02,-0.00,0.07,0.09,N/A,0.07,0.03,0.08,0.01,0.05,0.14,0.73,0.07
0.01,1,0.25,-0.03,-0.04,0.06,0.20,0.06,0.12,-0.13,0.10,0.13,0.21,0.10,0.10,0.03,-0.01,0.02,0.06,N/A,0.16,0.08,0.07,0.21,0.08,0.04,0.14,0.04
0.19,0.25,1,0.15,0.11,0.12,0.35,0.22,0.22,0.10,0.22,0.38,0.25,0.22,0.18,0.22,0.12,0.25,0.16,N/A,0.06,0.22,0.13,0.23,0.11,0.16,0.34,-0.09
0.25,-0.03,0.15,1,0.03,0.12,0.44,0.06,0.14,0.25,0.11,0.01,-0.03,0.35,0.03,0.34,-0.06,0.06,0.23,N/A,0.31,0.16,0.27,0.16,0.14,0.06,0.34,-0.04
0.11,-0.04,0.11,0.03,1,0.09,0.22,0.13,0.30,0.18,0.18,0.15,-0.00,0.32,0.06,0.30,-0.02,0.06,0.12,N/A,0.15,-0.08,0.16,0.15,0.15,0.39,0.26,0.15
0.83,0.06,0.12,0.12,0.09,1,0.09,0.08,0.02,0.04,0.06,0.02,0.04,0.03,-0.02,0.06,-0.00,0.09,0.09,N/A,0.17,-0.07,0.07,0.01,0.07,0.12,0.66,0.03
0.17,0.20,0.35,0.44,0.22,0.09,1,0.25,0.21,0.25,0.21,0.28,0.03,0.49,-0.01,0.49,-0.04,0.20,0.33,N/A,0.38,0.09,0.37,0.27,0.16,0.21,0.39,0.19
0.11,0.06,0.22,0.06,0.13,0.08,0.25,1,0.25,0.02,0.06,0.11,0.04,-0.18,0.14,0.04,-0.08,0.24,0.18,N/A,0.05,0.06,0.19,-0.10,-0.00,-0.02,0.16,0.16
0.05,0.12,0.22,0.14,0.30,0.02,0.21,0.25,1,0.22,0.06,0.09,-0.01,0.12,0.27,0.26,-0.03,0.17,0.15,N/A,0.18,0.05,0.12,0.13,0.11,0.19,0.22,-0.03
-0.01,-0.13,0.10,0.25,0.18,0.04,0.25,0.02,0.22,1,0.24,-0.13,-0.02,0.17,0.01,0.45,-0.01,-0.13,0.22,N/A,0.27,0.19,0.20,0.02,0.01,0.12,0.20,0.02
0.05,0.10,0.22,0.11,0.18,0.06,0.21,0.06,0.06,0.24,1,0.05,0.03,0.14,-0.04,0.26,0.01,0.10,0.47,N/A,0.08,0.08,0.45,0.20,0.23,0.38,0.17,0.18
0.05,0.13,0.38,0.01,0.15,0.02,0.28,0.11,0.09,-0.13,0.05,1,-0.12,0.13,0.15,0.11,0.06,0.01,0.16,N/A,0.09,-0.00,0.20,0.13,0.01,0.10,0.23,0.02
-0.02,0.21,0.25,-0.03,-0.00,0.04,0.03,0.04,-0.01,-0.02,0.03,-0.12,1,-0.00,-0.01,0.14,0.03,0.03,0.03,N/A,-0.03,0.04,0.11,0.09,0.09,-0.01,0.01,-0.09
0.08,0.10,0.22,0.35,0.32,0.03,0.49,-0.18,0.12,0.17,0.14,0.13,-0.00,1,-0.07,0.44,0.04,0.05,0.16,N/A,0.28,0.00,0.20,0.29,0.09,0.27,0.32,-0.12
0.07,0.10,0.18,0.03,0.06,-0.02,-0.01,0.14,0.27,0.01,-0.04,0.15,-0.01,-0.07,1,0.01,0.05,-0.04,0.11,N/A,0.01,0.30,0.06,0.12,0.08,0.00,0.04,0.09
0.02,0.03,0.22,0.34,0.30,0.06,0.49,0.04,0.26,0.45,0.26,0.11,0.14,0.44,0.01,1,0.01,0.07,0.36,N/A,0.52,0.13,0.38,0.19,0.36,0.22,0.28,0.06
-0.00,-0.01,0.12,-0.06,-0.02,-0.00,-0.04,-0.08,-0.03,-0.01,0.01,0.06,0.03,0.04,0.05,0.01,1,-0.10,0.16,N/A,-0.06,-0.01,0.06,0.00,0.00,-0.01,0.00,-0.01
0.07,0.02,0.25,0.06,0.06,0.09,0.20,0.24,0.17,-0.13,0.10,0.01,0.03,0.05,-0.04,0.07,-0.10,1,0.08,N/A,0.02,-0.03,0.10,-0.06,-0.06,-0.03,0.16,0.00
0.09,0.06,0.16,0.23,0.12,0.09,0.33,0.18,0.15,0.22,0.47,0.16,0.03,0.16,0.11,0.36,0.16,0.08,1,N/A,0.26,0.12,0.90,0.06,0.35,0.26,0.20,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.16,0.06,0.31,0.15,0.17,0.38,0.05,0.18,0.27,0.08,0.09,-0.03,0.28,0.01,0.52,-0.06,0.02,0.26,N/A,1,0.05,0.30,0.07,0.16,0.09,0.24,0.06
0.03,0.08,0.22,0.16,-0.08,-0.07,0.09,0.06,0.05,0.19,0.08,-0.00,0.04,0.00,0.30,0.13,-0.01,-0.03,0.12,N/A,0.05,1,0.08,0.05,0.04,0.04,0.05,-0.02
0.08,0.07,0.13,0.27,0.16,0.07,0.37,0.19,0.12,0.20,0.45,0.20,0.11,0.20,0.06,0.38,0.06,0.10,0.90,N/A,0.30,0.08,1,0.05,0.34,0.25,0.24,0.08
0.01,0.21,0.23,0.16,0.15,0.01,0.27,-0.10,0.13,0.02,0.20,0.13,0.09,0.29,0.12,0.19,0.00,-0.06,0.06,N/A,0.07,0.05,0.05,1,0.24,0.22,0.09,0.11
0.05,0.08,0.11,0.14,0.15,0.07,0.16,-0.00,0.11,0.01,0.23,0.01,0.09,0.09,0.08,0.36,0.00,-0.06,0.35,N/A,0.16,0.04,0.34,0.24,1,0.28,0.08,0.04
0.14,0.04,0.16,0.06,0.39,0.12,0.21,-0.02,0.19,0.12,0.38,0.10,-0.01,0.27,0.00,0.22,-0.01,-0.03,0.26,N/A,0.09,0.04,0.25,0.22,0.28,1,0.22,0.13
0.73,0.14,0.34,0.34,0.26,0.66,0.39,0.16,0.22,0.20,0.17,0.23,0.01,0.32,0.04,0.28,0.00,0.16,0.20,N/A,0.24,0.05,0.24,0.09,0.08,0.22,1,0.03
0.07,0.04,-0.09,-0.04,0.15,0.03,0.19,0.16,-0.03,0.02,0.18,0.02,-0.09,-0.12,0.09,0.06,-0.01,0.00,0.10,N/A,0.06,-0.02,0.08,0.11,0.04,0.13,0.03,1
