1,0.42,0.40,0.40,0.54,0.29,0.31,0.02,0.23,0.14,0.35,0.05,0.34,0.21
0.42,1,0.36,0.28,0.33,0.27,0.11,0.23,0.18,0.20,0.21,0.04,0.36,0.22
0.40,0.36,1,0.14,0.35,0.35,0.31,0.22,0.12,0.16,0.21,0.01,0.40,0.30
0.40,0.28,0.14,1,0.31,0.15,0.12,-0.04,0.09,0.15,0.15,-0.06,0.15,0.18
0.54,0.33,0.35,0.31,1,0.17,0.28,0.08,0.14,0.13,0.22,0.09,0.43,0.34
0.29,0.27,0.35,0.15,0.17,1,0.50,0.03,0.16,0.10,0.14,0.05,0.14,0.03
0.31,0.11,0.31,0.12,0.28,0.50,1,0.03,0.20,0.18,0.12,0.15,0.19,0.07
0.02,0.23,0.22,-0.04,0.08,0.03,0.03,1,0.13,0.01,0.07,0.06,0.39,0.21
0.23,0.18,0.12,0.09,0.14,0.16,0.20,0.13,1,0.13,0.06,0.04,0.13,0.05
0.14,0.20,0.16,0.15,0.13,0.10,0.18,0.01,0.13,1,-0.00,-0.01,0.16,0.16
0.35,0.21,0.21,0.15,0.22,0.14,0.12,0.07,0.06,-0.00,1,0.00,0.29,0.23
0.05,0.04,0.01,-0.06,0.09,0.05,0.15,0.06,0.04,-0.01,0.00,1,0.13,-0.01
0.34,0.36,0.40,0.15,0.43,0.14,0.19,0.39,0.13,0.16,0.29,0.13,1,0.41
0.21,0.22,0.30,0.18,0.34,0.03,0.07,0.21,0.05,0.16,0.23,-0.01,0.41,1
