1,0.15,0.12,0.20,0.46,N/A,0.28,0.14,0.16,0.00,0.15,0.14,0.38,0.35,0.36,0.13,0.17,-0.06,0.40,0.43,0.10,0.36,-0.04,0.25
0.15,1,0.08,0.07,0.10,N/A,0.10,0.04,0.08,0.00,0.22,-0.03,0.02,0.19,0.03,-0.08,0.04,-0.11,0.16,0.05,-0.01,0.04,-0.14,0.05
0.12,0.08,1,0.05,0.29,N/A,0.15,-0.05,0.40,-0.04,0.10,0.05,0.22,0.18,0.26,0.10,0.11,-0.18,0.13,0.13,0.03,0.32,0.05,0.21
0.20,0.07,0.05,1,0.16,N/A,0.22,0.24,0.15,0.04,0.02,0.35,0.30,0.24,0.21,0.15,0.13,0.01,0.36,0.08,0.00,0.17,0.10,0.09
0.46,0.10,0.29,0.16,1,N/A,0.43,0.21,0.30,0.05,0.35,0.13,0.52,0.50,0.37,0.26,0.20,0.05,0.54,0.50,0.23,0.39,0.26,0.24
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.28,0.10,0.15,0.22,0.43,N/A,1,0.31,0.32,0.05,0.48,0.43,0.46,0.72,0.31,0.37,0.26,0.13,0.73,0.29,0.13,0.28,0.23,0.26
0.14,0.04,-0.05,0.24,0.21,N/A,0.31,1,0.08,0.67,0.13,0.38,0.23,0.30,0.31,0.15,0.08,0.15,0.41,0.02,0.16,0.23,0.07,0.01
0.16,0.08,0.40,0.15,0.30,N/A,0.32,0.08,1,0.01,0.10,0.06,0.41,0.33,0.24,0.19,0.09,0.27,0.33,0.18,0.04,0.25,0.10,0.27
0.00,0.00,-0.04,0.04,0.05,N/A,0.05,0.67,0.01,1,-0.02,0.13,0.07,0.01,0.02,-0.02,-0.03,-0.03,0.00,-0.05,0.03,0.00,0.07,-0.06
0.15,0.22,0.10,0.02,0.35,N/A,0.48,0.13,0.10,-0.02,1,0.21,0.37,0.42,0.15,0.11,0.10,0.08,0.39,0.18,0.06,0.15,0.11,0.04
0.14,-0.03,0.05,0.35,0.13,N/A,0.43,0.38,0.06,0.13,0.21,1,0.21,0.35,0.14,0.21,0.27,0.19,0.45,0.14,0.15,0.06,0.18,0.21
0.38,0.02,0.22,0.30,0.52,N/A,0.46,0.23,0.41,0.07,0.37,0.21,1,0.55,0.38,0.33,0.19,0.09,0.56,0.40,0.17,0.40,0.23,0.23
0.35,0.19,0.18,0.24,0.50,N/A,0.72,0.30,0.33,0.01,0.42,0.35,0.55,1,0.43,0.41,0.35,0.08,0.86,0.41,0.18,0.40,0.34,0.31
0.36,0.03,0.26,0.21,0.37,N/A,0.31,0.31,0.24,0.02,0.15,0.14,0.38,0.43,1,0.16,0.11,0.02,0.56,0.25,-0.00,0.95,0.11,0.20
0.13,-0.08,0.10,0.15,0.26,N/A,0.37,0.15,0.19,-0.02,0.11,0.21,0.33,0.41,0.16,1,0.28,0.07,0.39,0.26,0.01,0.13,0.21,0.10
0.17,0.04,0.11,0.13,0.20,N/A,0.26,0.08,0.09,-0.03,0.10,0.27,0.19,0.35,0.11,0.28,1,0.08,0.31,0.19,0.02,0.12,0.13,0.02
-0.06,-0.11,-0.18,0.01,0.05,N/A,0.13,0.15,0.27,-0.03,0.08,0.19,0.09,0.08,0.02,0.07,0.08,1,0.15,0.07,0.07,0.01,0.02,0.02
0.40,0.16,0.13,0.36,0.54,N/A,0.73,0.41,0.33,0.00,0.39,0.45,0.56,0.86,0.56,0.39,0.31,0.15,1,0.41,0.17,0.51,0.25,0.27
0.43,0.05,0.13,0.08,0.50,N/A,0.29,0.02,0.18,-0.05,0.18,0.14,0.40,0.41,0.25,0.26,0.19,0.07,0.41,1,0.29,0.29,0.24,0.47
0.10,-0.01,0.03,0.00,0.23,N/A,0.13,0.16,0.04,0.03,0.06,0.15,0.17,0.18,-0.00,0.01,0.02,0.07,0.17,0.29,1,0.01,0.13,0.10
0.36,0.04,0.32,0.17,0.39,N/A,0.28,0.23,0.25,0.00,0.15,0.06,0.40,0.40,0.95,0.13,0.12,0.01,0.51,0.29,0.01,1,0.11,0.21
-0.04,-0.14,0.05,0.10,0.26,N/A,0.23,0.07,0.10,0.07,0.11,0.18,0.23,0.34,0.11,0.21,0.13,0.02,0.25,0.24,0.13,0.11,1,0.12
0.25,0.05,0.21,0.09,0.24,N/A,0.26,0.01,0.27,-0.06,0.04,0.21,0.23,0.31,0.20,0.10,0.02,0.02,0.27,0.47,0.10,0.21,0.12,1
