1,0.04,0.50,0.51,0.26,0.42,0.44,0.51,0.25,0.16,0.16,0.39,0.54,0.10,0.43,0.51,0.39,0.33,0.48,0.24,0.17,0.15,0.02,0.04,0.49,0.06,0.46
0.04,1,0.20,0.25,0.08,0.35,0.18,0.24,0.12,-0.06,0.19,0.26,0.23,0.07,0.16,0.14,0.10,0.19,0.25,0.11,-0.09,0.12,-0.00,0.10,0.23,0.20,0.25
0.50,0.20,1,0.97,0.53,0.77,0.80,0.84,0.28,0.08,0.42,0.79,0.74,0.31,0.65,0.42,0.71,0.66,0.77,0.36,0.22,0.19,0.08,0.31,0.79,0.33,0.80
0.51,0.25,0.97,1,0.52,0.89,0.85,0.91,0.28,0.10,0.45,0.85,0.81,0.27,0.68,0.40,0.72,0.72,0.86,0.33,0.21,0.22,0.07,0.32,0.90,0.33,0.91
0.26,0.08,0.53,0.52,1,0.39,0.45,0.46,0.29,0.14,0.10,0.44,0.37,0.14,0.25,0.17,0.43,0.50,0.42,0.29,0.16,-0.06,0.12,-0.01,0.45,0.17,0.44
0.42,0.35,0.77,0.89,0.39,1,0.79,0.84,0.21,0.12,0.46,0.82,0.79,0.16,0.64,0.35,0.63,0.70,0.87,0.19,0.16,0.18,0.03,0.33,0.91,0.35,0.93
0.44,0.18,0.80,0.85,0.45,0.79,1,0.81,0.13,0.29,0.26,0.78,0.74,0.15,0.66,0.41,0.95,0.59,0.81,0.29,0.22,0.14,0.09,0.35,0.80,0.26,0.81
0.51,0.24,0.84,0.91,0.46,0.84,0.81,1,0.24,0.14,0.40,0.85,0.81,0.30,0.69,0.33,0.67,0.63,0.85,0.23,0.41,0.32,0.10,0.29,0.91,0.27,0.90
0.25,0.12,0.28,0.28,0.29,0.21,0.13,0.24,1,-0.03,0.11,0.17,0.16,0.10,0.15,-0.03,0.10,0.38,0.16,0.01,0.02,-0.00,-0.05,0.15,0.25,0.03,0.26
0.16,-0.06,0.08,0.10,0.14,0.12,0.29,0.14,-0.03,1,-0.11,0.06,0.18,0.10,0.20,0.17,0.34,0.11,0.23,0.08,0.02,-0.09,0.02,0.02,0.12,0.12,0.11
0.16,0.19,0.42,0.45,0.10,0.46,0.26,0.40,0.11,-0.11,1,0.40,0.28,0.16,0.39,0.22,0.16,0.27,0.38,0.23,0.01,0.20,-0.02,0.29,0.38,0.24,0.38
0.39,0.26,0.79,0.85,0.44,0.82,0.78,0.85,0.17,0.06,0.40,1,0.76,0.21,0.59,0.28,0.64,0.55,0.81,0.24,0.20,0.18,0.10,0.32,0.83,0.23,0.82
0.54,0.23,0.74,0.81,0.37,0.79,0.74,0.81,0.16,0.18,0.28,0.76,1,0.21,0.58,0.38,0.60,0.66,0.84,0.18,0.26,0.29,0.07,0.26,0.82,0.21,0.81
0.10,0.07,0.31,0.27,0.14,0.16,0.15,0.30,0.10,0.10,0.16,0.21,0.21,1,0.24,0.13,0.15,0.25,0.19,0.11,0.05,0.24,-0.07,0.12,0.17,0.16,0.20
0.43,0.16,0.65,0.68,0.25,0.64,0.66,0.69,0.15,0.20,0.39,0.59,0.58,0.24,1,0.29,0.57,0.51,0.65,0.35,0.13,0.17,0.10,0.21,0.63,0.21,0.63
0.51,0.14,0.42,0.40,0.17,0.35,0.41,0.33,-0.03,0.17,0.22,0.28,0.38,0.13,0.29,1,0.41,0.16,0.34,0.35,0.09,0.03,0.02,0.13,0.30,0.13,0.35
0.39,0.10,0.71,0.72,0.43,0.63,0.95,0.67,0.10,0.34,0.16,0.64,0.60,0.15,0.57,0.41,1,0.46,0.67,0.33,0.21,0.10,0.09,0.35,0.63,0.22,0.65
0.33,0.19,0.66,0.72,0.50,0.70,0.59,0.63,0.38,0.11,0.27,0.55,0.66,0.25,0.51,0.16,0.46,1,0.64,0.07,0.09,0.12,0.02,0.17,0.67,0.28,0.72
0.48,0.25,0.77,0.86,0.42,0.87,0.81,0.85,0.16,0.23,0.38,0.81,0.84,0.19,0.65,0.34,0.67,0.64,1,0.27,0.28,0.26,0.13,0.32,0.86,0.31,0.86
0.24,0.11,0.36,0.33,0.29,0.19,0.29,0.23,0.01,0.08,0.23,0.24,0.18,0.11,0.35,0.35,0.33,0.07,0.27,1,0.04,0.02,-0.03,-0.03,0.20,0.11,0.22
0.17,-0.09,0.22,0.21,0.16,0.16,0.22,0.41,0.02,0.02,0.01,0.20,0.26,0.05,0.13,0.09,0.21,0.09,0.28,0.04,1,0.02,0.00,-0.01,0.27,0.01,0.25
0.15,0.12,0.19,0.22,-0.06,0.18,0.14,0.32,-0.00,-0.09,0.20,0.18,0.29,0.24,0.17,0.03,0.10,0.12,0.26,0.02,0.02,1,-0.03,0.09,0.23,-0.03,0.22
0.02,-0.00,0.08,0.07,0.12,0.03,0.09,0.10,-0.05,0.02,-0.02,0.10,0.07,-0.07,0.10,0.02,0.09,0.02,0.13,-0.03,0.00,-0.03,1,0.08,0.03,-0.01,0.03
0.04,0.10,0.31,0.32,-0.01,0.33,0.35,0.29,0.15,0.02,0.29,0.32,0.26,0.12,0.21,0.13,0.35,0.17,0.32,-0.03,-0.01,0.09,0.08,1,0.29,0.06,0.29
0.49,0.23,0.79,0.90,0.45,0.91,0.80,0.91,0.25,0.12,0.38,0.83,0.82,0.17,0.63,0.30,0.63,0.67,0.86,0.20,0.27,0.23,0.03,0.29,1,0.28,0.95
0.06,0.20,0.33,0.33,0.17,0.35,0.26,0.27,0.03,0.12,0.24,0.23,0.21,0.16,0.21,0.13,0.22,0.28,0.31,0.11,0.01,-0.03,-0.01,0.06,0.28,1,0.27
0.46,0.25,0.80,0.91,0.44,0.93,0.81,0.90,0.26,0.11,0.38,0.82,0.81,0.20,0.63,0.35,0.65,0.72,0.86,0.22,0.25,0.22,0.03,0.29,0.95,0.27,1
