N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.40,0.08,0.10,0.01,0.07,0.34,0.45,0.00,0.04,0.01,0.16,-0.02,0.43,0.04,0.23,0.09,0.09,-0.01
N/A,0.40,1,0.04,0.01,0.15,0.11,0.20,0.30,-0.07,0.02,-0.02,0.11,0.03,0.33,-0.09,0.30,0.02,0.07,0.05
N/A,0.08,0.04,1,-0.05,0.23,0.19,0.27,-0.02,0.08,0.11,0.07,0.07,0.00,0.17,0.07,0.12,0.03,0.48,-0.00
N/A,0.10,0.01,-0.05,1,-0.04,0.12,0.34,0.09,-0.08,0.06,0.04,0.23,0.42,0.25,-0.04,0.18,0.14,0.03,0.07
N/A,0.01,0.15,0.23,-0.04,1,0.15,0.27,0.04,0.21,0.19,0.05,0.19,0.03,0.23,0.06,0.25,0.05,0.48,-0.01
N/A,0.07,0.11,0.19,0.12,0.15,1,0.24,-0.02,-0.03,0.14,0.02,0.13,0.04,0.14,-0.03,0.03,0.21,0.16,0.05
N/A,0.34,0.20,0.27,0.34,0.27,0.24,1,0.10,-0.10,0.18,0.14,0.21,0.10,0.28,0.07,0.28,0.12,0.49,0.03
N/A,0.45,0.30,-0.02,0.09,0.04,-0.02,0.10,1,-0.00,-0.02,0.03,0.05,-0.01,0.34,-0.11,0.25,-0.13,0.06,-0.02
N/A,0.00,-0.07,0.08,-0.08,0.21,-0.03,-0.10,-0.00,1,0.14,0.05,-0.08,0.09,0.04,0.18,0.01,-0.04,0.14,0.19
N/A,0.04,0.02,0.11,0.06,0.19,0.14,0.18,-0.02,0.14,1,0.16,0.11,-0.02,0.09,0.19,0.06,0.07,0.20,0.22
N/A,0.01,-0.02,0.07,0.04,0.05,0.02,0.14,0.03,0.05,0.16,1,-0.05,0.12,0.04,-0.03,0.00,0.04,0.25,0.10
N/A,0.16,0.11,0.07,0.23,0.19,0.13,0.21,0.05,-0.08,0.11,-0.05,1,0.03,0.27,-0.05,0.24,0.04,0.19,-0.04
N/A,-0.02,0.03,0.00,0.42,0.03,0.04,0.10,-0.01,0.09,-0.02,0.12,0.03,1,0.09,-0.01,0.07,0.03,0.11,0.43
N/A,0.43,0.33,0.17,0.25,0.23,0.14,0.28,0.34,0.04,0.09,0.04,0.27,0.09,1,0.19,0.06,0.16,0.19,0.03
N/A,0.04,-0.09,0.07,-0.04,0.06,-0.03,0.07,-0.11,0.18,0.19,-0.03,-0.05,-0.01,0.19,1,-0.09,0.10,0.07,0.03
N/A,0.23,0.30,0.12,0.18,0.25,0.03,0.28,0.25,0.01,0.06,0.00,0.24,0.07,0.06,-0.09,1,-0.07,0.18,-0.05
N/A,0.09,0.02,0.03,0.14,0.05,0.21,0.12,-0.13,-0.04,0.07,0.04,0.04,0.03,0.16,0.10,-0.07,1,0.07,0.03
N/A,0.09,0.07,0.48,0.03,0.48,0.16,0.49,0.06,0.14,0.20,0.25,0.19,0.11,0.19,0.07,0.18,0.07,1,0.13
N/A,-0.01,0.05,-0.00,0.07,-0.01,0.05,0.03,-0.02,0.19,0.22,0.10,-0.04,0.43,0.03,0.03,-0.05,0.03,0.13,1
